dataset	display_name	readout	value
Mouse 500 µg 1x 1wk	ASO C	Cortex Gfap qPCR	1.096
Mouse 500 µg 1x 1wk	ASO D	Cortex Gfap qPCR	1.246
Mouse 500 µg 1x 1wk	ASO B	Cortex Gfap qPCR	1.085
Mouse 500 µg 1x 1wk	ASO G	Cortex Gfap qPCR	0.939
Mouse 500 µg 1x 1wk	ASO E	Cortex Gfap qPCR	1.016
Mouse 500 µg 1x 1wk	ASO I	Cortex Gfap qPCR	0.998
Mouse 500 µg 1x 1wk	ASO 5	Cortex Gfap qPCR	1.147
Mouse 500 µg 1x 1wk	ASO 6	Cortex Gfap qPCR	0.966
Mouse 500 µg 1x 1wk	ASO 2	Cortex Gfap qPCR	1.806
Mouse 500 µg 1x 1wk	ASO 3	Cortex Gfap qPCR	1.057
Mouse 500 µg 1x 1wk	ASO 1	Cortex Gfap qPCR	1.388
Mouse 500 µg 1x 1wk	ASO 7	Cortex Gfap qPCR	1.074
Mouse 500 µg 1x 1wk	ASO 8	Cortex Gfap qPCR	1.361
Mouse 500 µg 1x 1wk	ASO 4	Cortex Gfap qPCR	1.159
Mouse 500 µg 1x 1wk	PBS	Cortex Gfap qPCR	0.971
Mouse 500 µg 1x 1wk	ASO F	Cortex Gfap qPCR	1.353
Mouse 500 µg 1x 1wk	ASO A	Cortex Gfap qPCR	1.107
Mouse 500 µg 1x 1wk	ASO C	Cortex Gfap qPCR	1.11
Mouse 500 µg 1x 1wk	ASO D	Cortex Gfap qPCR	1.041
Mouse 500 µg 1x 1wk	ASO B	Cortex Gfap qPCR	1
Mouse 500 µg 1x 1wk	ASO G	Cortex Gfap qPCR	1.105
Mouse 500 µg 1x 1wk	ASO E	Cortex Gfap qPCR	1.212
Mouse 500 µg 1x 1wk	ASO I	Cortex Gfap qPCR	1.258
Mouse 500 µg 1x 1wk	ASO 5	Cortex Gfap qPCR	0.984
Mouse 500 µg 1x 1wk	ASO 6	Cortex Gfap qPCR	1.207
Mouse 500 µg 1x 1wk	ASO 2	Cortex Gfap qPCR	1.17
Mouse 500 µg 1x 1wk	ASO 3	Cortex Gfap qPCR	1.06
Mouse 500 µg 1x 1wk	ASO 1	Cortex Gfap qPCR	1.416
Mouse 500 µg 1x 1wk	ASO 7	Cortex Gfap qPCR	1.251
Mouse 500 µg 1x 1wk	ASO 8	Cortex Gfap qPCR	1.3
Mouse 500 µg 1x 1wk	ASO 4	Cortex Gfap qPCR	1.028
Mouse 500 µg 1x 1wk	PBS	Cortex Cd68 qPCR	0.8810588761
Mouse 500 µg 1x 1wk	ASO F	Cortex Cd68 qPCR	1.425709267
Mouse 500 µg 1x 1wk	ASO A	Cortex Cd68 qPCR	1.442355407
Mouse 500 µg 1x 1wk	ASO C	Cortex Cd68 qPCR	1.418422494
Mouse 500 µg 1x 1wk	ASO D	Cortex Cd68 qPCR	1.16468158
Mouse 500 µg 1x 1wk	ASO B	Cortex Cd68 qPCR	1.123753023
Mouse 500 µg 1x 1wk	ASO G	Cortex Cd68 qPCR	1.516295173
Mouse 500 µg 1x 1wk	ASO E	Cortex Cd68 qPCR	1.323232317
Mouse 500 µg 1x 1wk	ASO I	Cortex Cd68 qPCR	1.429229743
Mouse 500 µg 1x 1wk	ASO 5	Cortex Cd68 qPCR	1.623442538
Mouse 500 µg 1x 1wk	ASO 6	Cortex Cd68 qPCR	1.856175812
Mouse 500 µg 1x 1wk	ASO 2	Cortex Cd68 qPCR	1.448058707
Mouse 500 µg 1x 1wk	ASO 3	Cortex Cd68 qPCR	1.516891956
Mouse 500 µg 1x 1wk	ASO 1	Cortex Cd68 qPCR	1.297913982
Mouse 500 µg 1x 1wk	ASO 7	Cortex Cd68 qPCR	1.268952601
Mouse 500 µg 1x 1wk	ASO 8	Cortex Cd68 qPCR	1.417234016
Mouse 500 µg 1x 1wk	ASO 4	Cortex Cd68 qPCR	1.161873856
Mouse 500 µg 1x 1wk	PBS	Cortex Cd68 qPCR	1.016441126
Mouse 500 µg 1x 1wk	ASO F	Cortex Cd68 qPCR	1.409907165
Mouse 500 µg 1x 1wk	ASO A	Cortex Cd68 qPCR	1.390467555
Mouse 500 µg 1x 1wk	ASO C	Cortex Cd68 qPCR	1.32977267
Mouse 500 µg 1x 1wk	ASO D	Cortex Cd68 qPCR	1.068348207
Mouse 500 µg 1x 1wk	ASO B	Cortex Cd68 qPCR	1.058655403
Mouse 500 µg 1x 1wk	ASO G	Cortex Cd68 qPCR	1.243518388
Mouse 500 µg 1x 1wk	ASO E	Cortex Cd68 qPCR	1.204593386
Mouse 500 µg 1x 1wk	ASO I	Cortex Cd68 qPCR	1.181803933
Mouse 500 µg 1x 1wk	ASO 5	Cortex Cd68 qPCR	1.497684246
Mouse 500 µg 1x 1wk	ASO 6	Cortex Cd68 qPCR	1.768443831
Mouse 500 µg 1x 1wk	ASO 2	Cortex Cd68 qPCR	1.604231389
Mouse 500 µg 1x 1wk	ASO 3	Cortex Cd68 qPCR	1.596466684
Mouse 500 µg 1x 1wk	ASO 1	Cortex Cd68 qPCR	1.340903504
Mouse 500 µg 1x 1wk	ASO 7	Cortex Cd68 qPCR	1.330135774
Mouse 500 µg 1x 1wk	ASO 8	Cortex Cd68 qPCR	1.414061884
Mouse 500 µg 1x 1wk	ASO 4	Cortex Cd68 qPCR	1.248432225
Mouse 500 µg 1x 1wk	PBS	Cortex Cd68 qPCR	1.008456008
Mouse 500 µg 1x 1wk	ASO F	Cortex Cd68 qPCR	1.346594759
Mouse 500 µg 1x 1wk	ASO A	Cortex Cd68 qPCR	1.339282124
Mouse 500 µg 1x 1wk	ASO C	Cortex Cd68 qPCR	1.286949124
Mouse 500 µg 1x 1wk	ASO D	Cortex Cd68 qPCR	1.291659306
Mouse 500 µg 1x 1wk	ASO B	Cortex Cd68 qPCR	1.246798258
Mouse 500 µg 1x 1wk	ASO G	Cortex Cd68 qPCR	1.182336329
Mouse 500 µg 1x 1wk	ASO E	Cortex Cd68 qPCR	1.134699493
Mouse 500 µg 1x 1wk	ASO I	Cortex Cd68 qPCR	1.351199864
Mouse 500 µg 1x 1wk	ASO 5	Cortex Cd68 qPCR	1.598816978
Mouse 500 µg 1x 1wk	ASO 6	Cortex Cd68 qPCR	1.156189674
Mouse 500 µg 1x 1wk	ASO 2	Cortex Cd68 qPCR	1.569373328
Mouse 500 µg 1x 1wk	ASO 3	Cortex Cd68 qPCR	1.293530703
Mouse 500 µg 1x 1wk	ASO 1	Cortex Cd68 qPCR	1.435036374
Mouse 500 µg 1x 1wk	ASO 7	Cortex Cd68 qPCR	1.173587441
Mouse 500 µg 1x 1wk	ASO 8	Cortex Cd68 qPCR	1.476813413
Mouse 500 µg 1x 1wk	ASO 4	Cortex Cd68 qPCR	1.230331063
Mouse 500 µg 1x 1wk	PBS	Cortex Cd68 qPCR	1.094043989
Mouse 500 µg 1x 1wk	ASO F	Cortex Cd68 qPCR	1.552626414
Mouse 500 µg 1x 1wk	ASO A	Cortex Cd68 qPCR	1.351470528
Mouse 500 µg 1x 1wk	ASO C	Cortex Cd68 qPCR	1.33680755
Mouse 500 µg 1x 1wk	ASO D	Cortex Cd68 qPCR	1.264106391
Mouse 500 µg 1x 1wk	ASO B	Cortex Cd68 qPCR	1.277614431
Mouse 500 µg 1x 1wk	ASO G	Cortex Cd68 qPCR	1.152581609
Mouse 500 µg 1x 1wk	ASO E	Cortex Cd68 qPCR	1.25155398
Mouse 500 µg 1x 1wk	ASO I	Cortex Cd68 qPCR	1.477850469
Mouse 500 µg 1x 1wk	ASO 5	Cortex Cd68 qPCR	1.339740459
Mouse 500 µg 1x 1wk	ASO 6	Cortex Cd68 qPCR	1.45220108
Mouse 500 µg 1x 1wk	ASO 2	Cortex Cd68 qPCR	1.198906978
Mouse 500 µg 1x 1wk	ASO 3	Cortex Cd68 qPCR	1.222135434
Mouse 500 µg 1x 1wk	ASO 1	Cortex Cd68 qPCR	1.30624974
Mouse 500 µg 1x 1wk	ASO 7	Cortex Cd68 qPCR	1.277575845
Mouse 500 µg 1x 1wk	ASO 8	Cortex Cd68 qPCR	1.379928688
Mouse 500 µg 1x 1wk	ASO 4	Cortex Cd68 qPCR	1.293169045
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Aif1 qPCR	0.99
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Aif1 qPCR	1.163
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Aif1 qPCR	1.068
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Aif1 qPCR	1.656
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Aif1 qPCR	1.76
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Aif1 qPCR	1.069
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Aif1 qPCR	1.294
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Aif1 qPCR	1.12
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Aif1 qPCR	1.235
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Aif1 qPCR	1.393
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Aif1 qPCR	1.253
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Aif1 qPCR	0.933
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Aif1 qPCR	1.348
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Aif1 qPCR	1.263
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Aif1 qPCR	1.253
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Aif1 qPCR	1.598
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Aif1 qPCR	1.021
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Aif1 qPCR	0.975
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Aif1 qPCR	1.194
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Aif1 qPCR	1.076
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Aif1 qPCR	1.298
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Aif1 qPCR	1.748
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Aif1 qPCR	1.055
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Aif1 qPCR	1.455
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Aif1 qPCR	1.032
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Aif1 qPCR	1.235
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Aif1 qPCR	1.476
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Aif1 qPCR	1.041
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Aif1 qPCR	0.969
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Aif1 qPCR	1.507
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Aif1 qPCR	1.151
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Aif1 qPCR	1.359
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Aif1 qPCR	1.337
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Aif1 qPCR	0.914
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Aif1 qPCR	0.928
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Aif1 qPCR	1.27
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Aif1 qPCR	1.197
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Aif1 qPCR	1.085
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Aif1 qPCR	2.013
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Aif1 qPCR	1.29
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Aif1 qPCR	1.362
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Aif1 qPCR	1.201
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Aif1 qPCR	1.369
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Aif1 qPCR	0.858
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Aif1 qPCR	1.334
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Aif1 qPCR	1.143
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Aif1 qPCR	1.387
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Aif1 qPCR	1.21
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Aif1 qPCR	1.564
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Aif1 qPCR	1.395
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Aif1 qPCR	0.894
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Aif1 qPCR	1.106
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Aif1 qPCR	1.386
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Aif1 qPCR	1.384
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Aif1 qPCR	1.031
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Aif1 qPCR	1.616
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Aif1 qPCR	1.246
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Aif1 qPCR	1.263
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Aif1 qPCR	1.035
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Aif1 qPCR	1.41
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Aif1 qPCR	0.882
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Aif1 qPCR	1.541
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Aif1 qPCR	1.171
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Aif1 qPCR	1.475
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Aif1 qPCR	1.005
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Aif1 qPCR	2.092
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Aif1 qPCR	1.037
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Aif1 qPCR	1.021
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Gfap qPCR	0.933
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Gfap qPCR	0.884
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Gfap qPCR	1.033
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Gfap qPCR	1.378
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Gfap qPCR	1.04
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Gfap qPCR	0.946
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Gfap qPCR	1.142
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Gfap qPCR	0.794
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Gfap qPCR	1.026
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Gfap qPCR	1.02
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Gfap qPCR	1.002
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Gfap qPCR	0.897
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Gfap qPCR	0.974
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Gfap qPCR	0.998
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Gfap qPCR	0.957
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Gfap qPCR	1.157
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Gfap qPCR	0.963
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Gfap qPCR	0.924
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Gfap qPCR	1.135
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Gfap qPCR	0.907
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Gfap qPCR	1.108
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Gfap qPCR	1.034
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Gfap qPCR	0.982
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Gfap qPCR	1.218
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Gfap qPCR	0.812
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Gfap qPCR	1.006
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Gfap qPCR	1.098
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Gfap qPCR	0.966
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Gfap qPCR	0.768
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Gfap qPCR	1.05
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Gfap qPCR	0.993
