dataset	display_name	readout	value
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 3	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 3	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 3	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 3	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 3	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 3	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 3	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 3	Cord Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 2	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 2	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 2	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 2	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 2	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 2	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 2	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 2	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 2	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 2	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 2	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 5	Max dFOB Score	2
Mouse 500 µg 3x 10wk	ASO 5	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 5	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 5	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 5	Cord Iba1 IHC Score	2
Mouse 500 µg 3x 10wk	ASO 5	Cord Iba1 IHC Score	2
Mouse 500 µg 3x 10wk	ASO 5	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 5	Cord Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 5	Brain Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 5	Brain Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 5	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 5	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 5	Cerebellum Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 5	Cerebellum Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 5	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 5	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 5	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 5	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 5	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 5	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 7	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 7	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 7	Max dFOB Score	7
Mouse 500 µg 3x 10wk	ASO 7	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 7	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 7	Cord Iba1 IHC Score	2
Mouse 500 µg 3x 10wk	ASO 7	Cord Iba1 IHC Score	2
Mouse 500 µg 3x 10wk	ASO 7	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 7	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 7	Brain Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 7	Brain Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 7	Cerebellum Iba1 IHC Score	4
Mouse 500 µg 3x 10wk	ASO 7	Cerebellum Iba1 IHC Score	3
Mouse 500 µg 3x 10wk	ASO 7	Cerebellum Iba1 IHC Score	3
Mouse 500 µg 3x 10wk	ASO 7	Cerebellum Calbindin IHC Score	1
Mouse 500 µg 3x 10wk	ASO 7	Cerebellum Calbindin IHC Score	1
Mouse 500 µg 3x 10wk	ASO 7	Cerebellum Calbindin IHC Score	1
Mouse 500 µg 3x 10wk	ASO 8	Acute FOB Score After 1st ICV	6
Mouse 500 µg 3x 10wk	ASO 8	Acute FOB Score After 1st ICV	6
Mouse 500 µg 3x 10wk	ASO 8	Acute FOB Score After 1st ICV	5
Mouse 500 µg 3x 10wk	ASO 8	Acute FOB Score After 1st ICV	5
Mouse 500 µg 3x 10wk	ASO 8	Acute FOB Score After 2nd ICV	5
Mouse 500 µg 3x 10wk	ASO 8	Acute FOB Score After 2nd ICV	6
Mouse 500 µg 3x 10wk	ASO 8	Acute FOB Score After 3rd ICV	6
Mouse 500 µg 3x 10wk	ASO 8	Acute FOB Score After 3rd ICV	6
Mouse 500 µg 3x 10wk	ASO 8	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 8	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 8	Cord Iba1 IHC Score	2
Mouse 500 µg 3x 10wk	ASO 8	Cord Iba1 IHC Score	2
Mouse 500 µg 3x 10wk	ASO 8	Brain Iba1 IHC Score	2
Mouse 500 µg 3x 10wk	ASO 8	Brain Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 8	Cerebellum Iba1 IHC Score	4
Mouse 500 µg 3x 10wk	ASO 8	Cerebellum Iba1 IHC Score	4
Mouse 500 µg 3x 10wk	ASO 8	Cerebellum Calbindin IHC Score	1
Mouse 500 µg 3x 10wk	ASO 8	Cerebellum Calbindin IHC Score	1
Mouse 500 µg AxD 4wk	ASO 1	aFOB	1
Mouse 500 µg AxD 4wk	ASO 1	aFOB	1
Mouse 500 µg AxD 4wk	ASO 1	aFOB	1
Mouse 500 µg AxD 4wk	ASO 1	aFOB	1
Mouse 500 µg AxD 4wk	ASO 1	Max dFOB	0
Mouse 500 µg AxD 4wk	ASO 1	Max dFOB	0
Mouse 500 µg AxD 4wk	ASO 1	Max dFOB	0
Mouse 500 µg AxD 4wk	ASO 1	Max dFOB	0
Mouse 500 µg AxD 4wk	ASO 1	Cord Iba1	1
Mouse 500 µg AxD 4wk	ASO 1	Cord Iba1	1
Mouse 500 µg AxD 4wk	ASO 1	Cord Iba1	1
Mouse 500 µg AxD 4wk	ASO 1	Cord Iba1	1
Mouse 500 µg AxD 4wk	ASO 1	Brain Iba1	2
Mouse 500 µg AxD 4wk	ASO 1	Brain Iba1	2
Mouse 500 µg AxD 4wk	ASO 1	Brain Iba1	2
Mouse 500 µg AxD 4wk	ASO 1	Brain Iba1	2
Mouse 500 µg AxD 4wk	ASO 1	Cerebellum Iba1	0
Mouse 500 µg AxD 4wk	ASO 1	Cerebellum Iba1	0
Mouse 500 µg AxD 4wk	ASO 1	Cerebellum Iba1	1
Mouse 500 µg AxD 4wk	ASO 1	Cerebellum Iba1	1
Mouse 500 µg AxD 4wk	ASO 1	Cerebellum Calbindin	0
Mouse 500 µg AxD 4wk	ASO 1	Cerebellum Calbindin	0
Mouse 500 µg AxD 4wk	ASO 1	Cerebellum Calbindin	0
Mouse 500 µg AxD 4wk	ASO 1	Cerebellum Calbindin	0
Mouse 500 µg AxD 4wk	ASO 2	aFOB	0
Mouse 500 µg AxD 4wk	ASO 2	aFOB	0
Mouse 500 µg AxD 4wk	ASO 2	aFOB	0
Mouse 500 µg AxD 4wk	ASO 2	aFOB	0
Mouse 500 µg AxD 4wk	ASO 2	Max dFOB	0
Mouse 500 µg AxD 4wk	ASO 2	Max dFOB	0
Mouse 500 µg AxD 4wk	ASO 2	Max dFOB	0
Mouse 500 µg AxD 4wk	ASO 2	Max dFOB	0
Mouse 500 µg AxD 4wk	ASO 2	Cord Iba1	1
Mouse 500 µg AxD 4wk	ASO 2	Cord Iba1	1
Mouse 500 µg AxD 4wk	ASO 2	Cord Iba1	1
Mouse 500 µg AxD 4wk	ASO 2	Cord Iba1	1
Mouse 500 µg AxD 4wk	ASO 2	Brain Iba1	2
Mouse 500 µg AxD 4wk	ASO 2	Brain Iba1	2
Mouse 500 µg AxD 4wk	ASO 2	Brain Iba1	1
Mouse 500 µg AxD 4wk	ASO 2	Brain Iba1	1
Mouse 500 µg AxD 4wk	ASO 2	Cerebellum Iba1	0
Mouse 500 µg AxD 4wk	ASO 2	Cerebellum Iba1	0
Mouse 500 µg AxD 4wk	ASO 2	Cerebellum Iba1	1
Mouse 500 µg AxD 4wk	ASO 2	Cerebellum Iba1	1
Mouse 500 µg AxD 4wk	ASO 2	Cerebellum Calbindin	0
Mouse 500 µg AxD 4wk	ASO 2	Cerebellum Calbindin	0
Mouse 500 µg AxD 4wk	ASO 2	Cerebellum Calbindin	0
Mouse 500 µg AxD 4wk	ASO 2	Cerebellum Calbindin	0
Mouse 1000 µg AxD 4wk	ASO 1	aFOB	2
Mouse 1000 µg AxD 4wk	ASO 1	aFOB	5
Mouse 1000 µg AxD 4wk	ASO 1	aFOB	2
Mouse 1000 µg AxD 4wk	ASO 1	aFOB	4
Mouse 1000 µg AxD 4wk	ASO 1	Max dFOB	0
Mouse 1000 µg AxD 4wk	ASO 1	Max dFOB	0
Mouse 1000 µg AxD 4wk	ASO 1	Max dFOB	0
Mouse 1000 µg AxD 4wk	ASO 1	Max dFOB	0
Mouse 1000 µg AxD 4wk	ASO 1	Cord Iba1	1
Mouse 1000 µg AxD 4wk	ASO 1	Cord Iba1	1
Mouse 1000 µg AxD 4wk	ASO 1	Cord Iba1	1
Mouse 1000 µg AxD 4wk	ASO 1	Cord Iba1	1
Mouse 1000 µg AxD 4wk	ASO 1	Brain Iba1	2
Mouse 1000 µg AxD 4wk	ASO 1	Brain Iba1	2
Mouse 1000 µg AxD 4wk	ASO 1	Brain Iba1	2
Mouse 1000 µg AxD 4wk	ASO 1	Brain Iba1	2
Mouse 1000 µg AxD 4wk	ASO 1	Cerebellum Iba1	1
Mouse 1000 µg AxD 4wk	ASO 1	Cerebellum Iba1	1
Mouse 1000 µg AxD 4wk	ASO 1	Cerebellum Iba1	1
Mouse 1000 µg AxD 4wk	ASO 1	Cerebellum Iba1	0
Mouse 1000 µg AxD 4wk	ASO 1	Cerebellum Calbindin	0
Mouse 1000 µg AxD 4wk	ASO 1	Cerebellum Calbindin	0
Mouse 1000 µg AxD 4wk	ASO 1	Cerebellum Calbindin	0
Mouse 1000 µg AxD 4wk	ASO 1	Cerebellum Calbindin	0
Mouse 1000 µg AxD 4wk	ASO 2	aFOB	7
Mouse 1000 µg AxD 4wk	ASO 2	aFOB	7
Mouse 1000 µg AxD 4wk	ASO 2	aFOB	2
Mouse 1000 µg AxD 4wk	ASO 2	aFOB	2
Mouse 1000 µg AxD 4wk	ASO 2	Max dFOB	0
Mouse 1000 µg AxD 4wk	ASO 2	Max dFOB	0
Mouse 1000 µg AxD 4wk	ASO 2	Cord Iba1	1
Mouse 1000 µg AxD 4wk	ASO 2	Cord Iba1	2
Mouse 1000 µg AxD 4wk	ASO 2	Brain Iba1	2
Mouse 1000 µg AxD 4wk	ASO 2	Brain Iba1	2
Mouse 1000 µg AxD 4wk	ASO 2	Brain Iba1	2
Mouse 1000 µg AxD 4wk	ASO 2	Brain Iba1	2
Mouse 1000 µg AxD 4wk	ASO 2	Cerebellum Iba1	2
Mouse 1000 µg AxD 4wk	ASO 2	Cerebellum Iba1	1
Mouse 1000 µg AxD 4wk	ASO 2	Cerebellum Calbindin	0
Mouse 1000 µg AxD 4wk	ASO 2	Cerebellum Calbindin	0
Rat 3 mg 1x 1wk	ASO 4	Thoracic Cord Aif1 qPCR	0.7506102
Rat 3 mg 1x 1wk	ASO 1	Thoracic Cord Aif1 qPCR	1.219091
Rat 3 mg 1x 1wk	ASO 2	Thoracic Cord Aif1 qPCR	1.426768
Rat 3 mg 1x 1wk	ASO 3	Thoracic Cord Aif1 qPCR	2.056302
Rat 3 mg 1x 1wk	ASO 7	Thoracic Cord Aif1 qPCR	1.196834
Rat 3 mg 1x 1wk	ASO 8	Thoracic Cord Aif1 qPCR	1.52683
Rat 3 mg 1x 1wk	ASO 5	Thoracic Cord Aif1 qPCR	1.102827
Rat 3 mg 1x 1wk	ASO 6	Thoracic Cord Aif1 qPCR	1.807266
Rat 3 mg 1x 1wk	ASO 4	Cortex Aif1 qPCR	0.686713
Rat 3 mg 1x 1wk	ASO 1	Cortex Aif1 qPCR	0.8334921
Rat 3 mg 1x 1wk	ASO 2	Cortex Aif1 qPCR	1.126515
Rat 3 mg 1x 1wk	ASO 3	Cortex Aif1 qPCR	0.9937507
Rat 3 mg 1x 1wk	ASO 7	Cortex Aif1 qPCR	0.8214189
Rat 3 mg 1x 1wk	ASO 8	Cortex Aif1 qPCR	1.025739
Rat 3 mg 1x 1wk	ASO 5	Cortex Aif1 qPCR	1.068531
Rat 3 mg 1x 1wk	ASO 6	Cortex Aif1 qPCR	2.349164
Rat 3 mg 1x 1wk	ASO 4	Thoracic Cord Aif1 qPCR	1.296349
Rat 3 mg 1x 1wk	ASO 1	Thoracic Cord Aif1 qPCR	0.9900192
Rat 3 mg 1x 1wk	ASO 2	Thoracic Cord Aif1 qPCR	1.211471
Rat 3 mg 1x 1wk	ASO 3	Thoracic Cord Aif1 qPCR	1.318707
Rat 3 mg 1x 1wk	ASO 7	Thoracic Cord Aif1 qPCR	0.8871609
Rat 3 mg 1x 1wk	ASO 8	Thoracic Cord Aif1 qPCR	1.545267
Rat 3 mg 1x 1wk	ASO 5	Thoracic Cord Aif1 qPCR	0.6333212
Rat 3 mg 1x 1wk	ASO 6	Thoracic Cord Aif1 qPCR	1.558119
Rat 3 mg 1x 1wk	ASO 4	Cortex Aif1 qPCR	0.7186391
Rat 3 mg 1x 1wk	ASO 1	Cortex Aif1 qPCR	0.9147695
Rat 3 mg 1x 1wk	ASO 2	Cortex Aif1 qPCR	1.280976
Rat 3 mg 1x 1wk	ASO 3	Cortex Aif1 qPCR	0.955565
Rat 3 mg 1x 1wk	ASO 7	Cortex Aif1 qPCR	0.878294
Rat 3 mg 1x 1wk	ASO 8	Cortex Aif1 qPCR	0.9862347
Rat 3 mg 1x 1wk	ASO 5	Cortex Aif1 qPCR	0.9102583
Rat 3 mg 1x 1wk	ASO 6	Cortex Aif1 qPCR	1.233901
Rat 3 mg 1x 1wk	ASO 4	Thoracic Cord Aif1 qPCR	0.9621913
Rat 3 mg 1x 1wk	ASO 1	Thoracic Cord Aif1 qPCR	1.916262
Rat 3 mg 1x 1wk	ASO 2	Thoracic Cord Aif1 qPCR	1.280186
Rat 3 mg 1x 1wk	ASO 3	Thoracic Cord Aif1 qPCR	1.409394
Rat 3 mg 1x 1wk	ASO 7	Thoracic Cord Aif1 qPCR	0.9547411
Rat 3 mg 1x 1wk	ASO 8	Thoracic Cord Aif1 qPCR	1.154661
Rat 3 mg 1x 1wk	ASO 5	Thoracic Cord Aif1 qPCR	1.113095
Rat 3 mg 1x 1wk	ASO 6	Thoracic Cord Aif1 qPCR	2.423263
Rat 3 mg 1x 1wk	ASO 4	Cortex Aif1 qPCR	0.8400556
Rat 3 mg 1x 1wk	ASO 1	Cortex Aif1 qPCR	1.141513
Rat 3 mg 1x 1wk	ASO 2	Cortex Aif1 qPCR	0.9386482
Rat 3 mg 1x 1wk	ASO 3	Cortex Aif1 qPCR	1.058246
Rat 3 mg 1x 1wk	ASO 7	Cortex Aif1 qPCR	0.8754579
Rat 3 mg 1x 1wk	ASO 8	Cortex Aif1 qPCR	0.7358846
Rat 3 mg 1x 1wk	ASO 5	Cortex Aif1 qPCR	0.9907555
Rat 3 mg 1x 1wk	ASO 6	Cortex Aif1 qPCR	3.411109
Rat 3 mg 1x 1wk	ASO 4	Thoracic Cord Aif1 qPCR	0.9962405
Rat 3 mg 1x 1wk	ASO 1	Thoracic Cord Aif1 qPCR	2.035172
Rat 3 mg 1x 1wk	ASO 2	Thoracic Cord Aif1 qPCR	1.24489
Rat 3 mg 1x 1wk	ASO 3	Thoracic Cord Aif1 qPCR	1.554703
Rat 3 mg 1x 1wk	ASO 7	Thoracic Cord Aif1 qPCR	1.6872
Rat 3 mg 1x 1wk	ASO 8	Thoracic Cord Aif1 qPCR	1.159029
Rat 3 mg 1x 1wk	ASO 5	Thoracic Cord Aif1 qPCR	0.6892947
Rat 3 mg 1x 1wk	ASO 6	Thoracic Cord Aif1 qPCR	1.208703
Rat 3 mg 1x 1wk	ASO 4	Cortex Aif1 qPCR	0.7064856
Rat 3 mg 1x 1wk	ASO 1	Cortex Aif1 qPCR	1.396004
Rat 3 mg 1x 1wk	ASO 2	Cortex Aif1 qPCR	0.8493013
Rat 3 mg 1x 1wk	ASO 3	Cortex Aif1 qPCR	0.7613509
Rat 3 mg 1x 1wk	ASO 7	Cortex Aif1 qPCR	1.181627
Rat 3 mg 1x 1wk	ASO 8	Cortex Aif1 qPCR	0.8315667
Rat 3 mg 1x 1wk	ASO 5	Cortex Aif1 qPCR	0.8366893
Rat 3 mg 1x 1wk	ASO 6	Cortex Aif1 qPCR	0.9835953
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 2nd IT	2
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 2nd IT	3
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 2nd IT	2
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 2nd IT	2
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 3rd IT	2
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 3rd IT	3
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 3rd IT	0
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 3rd IT	0
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 3rd IT	5
Rat 1 mg 3x 4wk	ASO 1	dFOB Score After 3rd IT	5
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 2nd IT	7
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 2nd IT	2
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 2nd IT	4
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 2nd IT	4
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 3rd IT	-
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 3rd IT	5
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 3rd IT	5
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 3rd IT	5
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 3rd IT	-
Rat 1 mg 3x 4wk	ASO 6	dFOB Score After 3rd IT	-
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 3rd IT	0
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 3rd IT	1
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 3rd IT	0
Rat 1 mg 3x 4wk	ASO 2	dFOB Score After 3rd IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 1st IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 2nd IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 3rd IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 3rd IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 3rd IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 3rd IT	0
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 3rd IT	3
Rat 1 mg 3x 4wk	ASO 5	dFOB Score After 3rd IT	3
Rat 3 mg 1x 8wk	ASO 4	Acute FOB Score	2
Rat 3 mg 1x 8wk	ASO 4	Acute FOB Score	2
Rat 3 mg 1x 8wk	ASO 4	Acute FOB Score	2
Rat 3 mg 1x 8wk	ASO 4	Acute FOB Score	0
Rat 3 mg 1x 8wk	ASO 4	Max dFOB Score	0
Rat 3 mg 1x 8wk	ASO 4	Max dFOB Score	0
Rat 3 mg 1x 8wk	ASO 4	Max dFOB Score	0
Rat 3 mg 1x 8wk	ASO 4	Max dFOB Score	0
Rat 3 mg 1x 8wk	ASO 4	Cord Iba1 IHC Score	0
Rat 3 mg 1x 8wk	ASO 4	Cord Iba1 IHC Score	0
Rat 3 mg 1x 8wk	ASO 4	Cord Iba1 IHC Score	0
Rat 3 mg 1x 8wk	ASO 4	Cord Iba1 IHC Score	0
Rat 3 mg 1x 8wk	ASO 4	Brain Iba1 IHC Score	0
