treatment	stain	dosed_dpi	harvest_dpi	animal	mean_ihc_score
ASO 3	ASO	123	137	4	2.6153846153846154
ASO 3	GFAP	-14	150	1	1.5
ASO 3	GFAP	-14	150	2	1.3636363636363635
ASO 3	GFAP	-14	150	3	1.5
ASO 3	GFAP	-14	150	4	1.25
ASO 3	GFAP	30	150	1	1.4166666666666667
ASO 3	GFAP	30	150	2	1.5
ASO 3	GFAP	30	150	3	1.5833333333333333
ASO 3	GFAP	30	150	4	1.4166666666666667
ASO 3	GFAP	60	150	1	1.5833333333333333
ASO 3	GFAP	60	150	2	1.5
ASO 3	GFAP	60	150	3	1.5833333333333333
ASO 3	GFAP	60	150	4	1.5454545454545454
ASO 3	GFAP	90	150	1	1.3333333333333333
ASO 3	GFAP	90	150	2	1.5
ASO 3	GFAP	90	150	3	1.5
ASO 3	GFAP	90	150	4	1.5
ASO 3	GFAP	123	137	1	1.6666666666666667
ASO 3	GFAP	123	137	2	1.5833333333333333
ASO 3	GFAP	123	137	3	1.9166666666666667
ASO 3	GFAP	123	137	4	1.5833333333333333
ASO 3	Iba1	-14	150	1	1.4166666666666667
ASO 3	Iba1	-14	150	2	1.25
ASO 3	Iba1	-14	150	3	1.5
ASO 3	Iba1	-14	150	4	1.3333333333333333
ASO 3	Iba1	30	150	1	1.25
ASO 3	Iba1	30	150	2	0.75
ASO 3	Iba1	30	150	3	0.9166666666666666
ASO 3	Iba1	30	150	4	1
ASO 3	Iba1	60	150	1	0.8333333333333334
ASO 3	Iba1	60	150	2	0.6
ASO 3	Iba1	60	150	3	1
ASO 3	Iba1	60	150	4	0.6363636363636364
ASO 3	Iba1	90	150	1	1.3333333333333333
ASO 3	Iba1	90	150	2	1.25
ASO 3	Iba1	90	150	3	1.1666666666666667
ASO 3	Iba1	90	150	4	1.0833333333333333
ASO 3	Iba1	123	137	1	1.0833333333333333
ASO 3	Iba1	123	137	2	1.4166666666666667
ASO 3	Iba1	123	137	3	1.1666666666666667
ASO 3	Iba1	123	137	4	1.4166666666666667
ASO 3	PrP	-14	150	1	1.4166666666666667
ASO 3	PrP	-14	150	2	1.4166666666666667
ASO 3	PrP	-14	150	3	1.5833333333333333
ASO 3	PrP	-14	150	4	1.5833333333333333
ASO 3	PrP	30	150	1	0.8333333333333334
ASO 3	PrP	30	150	2	1.4166666666666667
ASO 3	PrP	30	150	3	1.4166666666666667
ASO 3	PrP	30	150	4	1.375
ASO 3	PrP	60	150	1	0.9166666666666666
ASO 3	PrP	60	150	2	1.1
ASO 3	PrP	60	150	3	1.25
ASO 3	PrP	60	150	4	1.4166666666666667
ASO 3	PrP	90	150	1	1
ASO 3	PrP	90	150	2	1
ASO 3	PrP	90	150	3	1.0833333333333333
ASO 3	PrP	90	150	4	1
ASO 3	PrP	123	137	1	0.75
ASO 3	PrP	123	137	2	0.8333333333333334
ASO 3	PrP	123	137	3	0.75
ASO 3	PrP	123	137	4	1.1666666666666667
ASO 4	ASO	-14	150	1	0.5384615384615384
ASO 4	ASO	-14	150	2	0.23076923076923078
ASO 4	ASO	-14	150	3	0.3
ASO 4	ASO	-14	150	4	0.8571428571428571
ASO 4	ASO	30	150	1	0.3076923076923077
ASO 4	ASO	30	150	2	0.3076923076923077
ASO 4	ASO	30	150	3	0.38461538461538464
ASO 4	ASO	30	150	4	0.3076923076923077
ASO 4	ASO	60	150	1	0.3076923076923077
ASO 4	ASO	60	150	2	0.3076923076923077
ASO 4	ASO	60	150	3	0.3333333333333333
ASO 4	ASO	60	150	4	0.5384615384615384
ASO 4	ASO	90	150	1	1.3846153846153846
ASO 4	ASO	90	150	2	0.6923076923076923
ASO 4	ASO	90	150	3	1.2
ASO 4	ASO	90	150	4	1
ASO 4	ASO	123	150	1	2.3076923076923075
ASO 4	ASO	123	150	2	2.4166666666666665
ASO 4	ASO	123	150	3	1.8461538461538463
ASO 4	ASO	123	150	4	2
ASO 4	GFAP	-14	150	1	1.1666666666666667
ASO 4	GFAP	-14	150	2	1.4166666666666667
ASO 4	GFAP	-14	150	3	1.1111111111111112
ASO 4	GFAP	-14	150	4	1
ASO 4	GFAP	30	150	1	1.6666666666666667
ASO 4	GFAP	30	150	2	1.6666666666666667
ASO 4	GFAP	30	150	3	1.6666666666666667
ASO 4	GFAP	30	150	4	1.8333333333333333
ASO 4	GFAP	60	150	1	1.4444444444444444
ASO 4	GFAP	60	150	2	1.3636363636363635
ASO 4	GFAP	60	150	3	1.8571428571428572
ASO 4	GFAP	60	150	4	1.3333333333333333
ASO 4	GFAP	90	150	1	1.8333333333333333
ASO 4	GFAP	90	150	2	1.9166666666666667
ASO 4	GFAP	90	150	3	2
ASO 4	GFAP	90	150	4	1.5
ASO 4	GFAP	123	150	1	2.6666666666666665
ASO 4	GFAP	123	150	2	2.090909090909091
ASO 4	GFAP	123	150	3	2.6666666666666665
ASO 4	GFAP	123	150	4	2.5833333333333335
ASO 4	Iba1	-14	150	1	1.1666666666666667
ASO 4	Iba1	-14	150	2	1.25
ASO 4	Iba1	-14	150	3	1.25
ASO 4	Iba1	-14	150	4	1
ASO 4	Iba1	30	150	1	1.25
ASO 4	Iba1	30	150	2	1.1666666666666667
ASO 4	Iba1	30	150	3	1.1666666666666667
ASO 4	Iba1	30	150	4	1.4166666666666667
ASO 4	Iba1	60	150	1	0.7142857142857143
ASO 4	Iba1	60	150	2	1.0909090909090908
ASO 4	Iba1	60	150	3	1.125
ASO 4	Iba1	60	150	4	0.8333333333333334
ASO 4	Iba1	90	150	1	1.25
ASO 4	Iba1	90	150	2	1.3333333333333333
ASO 4	Iba1	90	150	3	1.1111111111111112
ASO 4	Iba1	90	150	4	0.9166666666666666
ASO 4	Iba1	123	150	1	1.3333333333333333
ASO 4	Iba1	123	150	2	1
ASO 4	Iba1	123	150	3	0.75
ASO 4	Iba1	123	150	4	1.1666666666666667
ASO 4	PrP	-14	150	1	1
ASO 4	PrP	-14	150	2	1.3333333333333333
ASO 4	PrP	-14	150	3	1.7777777777777777
ASO 4	PrP	-14	150	4	1.3333333333333333
