gene	dpi	dpi_label	log2fc	pval	p_bonf	celltype
1600016N20Rik	28	28 dpi	0.1888	0.8109	1	0_none
1600019K03Rik	28	28 dpi	0	1	1	0_none
1600020E01Rik	28	28 dpi	0.09711	0.729	1	0_none
1600021P15Rik	28	28 dpi	0.2066	0.229	1	0_none
1600025M17Rik	28	28 dpi	0	1	1	0_none
1600027N09Rik	28	28 dpi	0.1749	0.4503	1	0_none
1600029D21Rik	28	28 dpi	-0.122	0.8709	1	0_none
1600029I14Rik	28	28 dpi	-0.8168	0.2082	1	0_none
1600029O15Rik	28	28 dpi	-0.6203	0.09971	1	0_none
1700001C02Rik	28	28 dpi	0.7171	0.2234	1	0_none
1700001C19Rik	28	28 dpi	1.362	0.2595	1	0_none
1700001D01Rik	28	28 dpi	0	1	1	0_none
1700001F09Rik	28	28 dpi	0	1	1	0_none
1700001G11Rik	28	28 dpi	1.091	0.1517	1	0_none
1700001G17Rik	28	28 dpi	0.4403	0.678	1	0_none
1700001J03Rik	28	28 dpi	1.412	0.02952	1	0_none
1700001J11Rik	28	28 dpi	-1.976	0.2424	1	0_none
1700001K19Rik	28	28 dpi	0	1	1	0_none
1700001K23Rik	28	28 dpi	1.809	0.2834	1	0_none
1700001L05Rik	28	28 dpi	-0.3254	0.2417	1	0_none
1700001L19Rik	28	28 dpi	0.1314	0.7105	1	0_none
1700001O22Rik	28	28 dpi	0.2253	0.4909	1	0_none
1700001P01Rik	28	28 dpi	-0.9002	0.1509	1	0_none
1700003C15Rik	28	28 dpi	0	1	1	0_none
1700003D09Rik	28	28 dpi	1.419	0.3001	1	0_none
1700003E16Rik	28	28 dpi	0.503	0.05039	1	0_none
1700003F12Rik	28	28 dpi	0.3514	0.7203	1	0_none
1700003F17Rik	28	28 dpi	-1.983	0.2415	1	0_none
1700003G13Rik	28	28 dpi	0	1	1	0_none
1700003G18Rik	28	28 dpi	1.809	0.2834	1	0_none
1700003H04Rik	28	28 dpi	0	1	1	0_none
1700003L19Rik	28	28 dpi	-2.425	0.1055	1	0_none
1700003M02Rik	28	28 dpi	0.1259	0.8361	1	0_none
1700003M07Rik	28	28 dpi	0.07151	0.7137	1	0_none
1700003P14Rik	28	28 dpi	0	1	1	0_none
1700006A11Rik	28	28 dpi	0	1	1	0_none
1700006E09Rik	28	28 dpi	0	1	1	0_none
1700006F04Rik	28	28 dpi	-2.098	0.116	1	0_none
1700006H21Rik	28	28 dpi	0	1	1	0_none
1700007B14Rik	28	28 dpi	-0.1796	0.7971	1	0_none
1700007F19Rik	28	28 dpi	-0.08281	0.9451	1	0_none
1700007G11Rik	28	28 dpi	-0.1467	0.7822	1	0_none
1700007I08Rik	28	28 dpi	-1.532	0.3303	1	0_none
1700007J10Rik	28	28 dpi	0.932	0.5021	1	0_none
1700007K09Rik	28	28 dpi	-0.356	0.5896	1	0_none
1700007K13Rik	28	28 dpi	1.046	0.0362	1	0_none
1700007L15Rik	28	28 dpi	0.4577	0.4481	1	0_none
1700007P06Rik	28	28 dpi	1.952	0.07708	1	0_none
1700008A04Rik	28	28 dpi	0	1	1	0_none
1700008F21Rik	28	28 dpi	0	1	1	0_none
1700008I05Rik	28	28 dpi	0	1	1	0_none
1700008J07Rik	28	28 dpi	-0.06868	0.8581	1	0_none
1700008K24Rik	28	28 dpi	1.861	0.2768	1	0_none
1700008O03Rik	28	28 dpi	-0.02279	0.9727	1	0_none
1700008P02Rik	28	28 dpi	0	1	1	0_none
1700008P20Rik	28	28 dpi	0	1	1	0_none
1700009C05Rik	28	28 dpi	-1.327	0.308	1	0_none
1700009J07Rik	28	28 dpi	1.565	0.3073	1	0_none
1700009N14Rik	28	28 dpi	0	1	1	0_none
1700009P17Rik	28	28 dpi	0.312	0.4832	1	0_none
1700010B08Rik	28	28 dpi	0	1	1	0_none
1700010D01Rik	28	28 dpi	0	1	1	0_none
1700010I02Rik	28	28 dpi	0	1	1	0_none
1700010I14Rik	28	28 dpi	0.1928	0.6811	1	0_none
1700010J16Rik	28	28 dpi	0	1	1	0_none
1700010K23Rik	28	28 dpi	1.809	0.2834	1	0_none
1700010M22Rik	28	28 dpi	0	1	1	0_none
1700011A15Rik	28	28 dpi	2.618	0.1421	1	0_none
1700011B04Rik	28	28 dpi	0	1	1	0_none
1700011E24Rik	28	28 dpi	-0.9459	0.487	1	0_none
1700011F03Rik	28	28 dpi	0	1	1	0_none
1700011F14Rik	28	28 dpi	-0.05429	0.9679	1	0_none
1700011H14Rik	28	28 dpi	0	1	1	0_none
1700011I03Rik	28	28 dpi	5.125	9.121e-4	1	0_none
1700011J10Rik	28	28 dpi	-0.01837	0.9437	1	0_none
1700011L22Rik	28	28 dpi	0.229	0.8497	1	0_none
1700011M02Rik	28	28 dpi	0	1	1	0_none
1700012A03Rik	28	28 dpi	0	1	1	0_none
1700012A16Rik	28	28 dpi	-0.155	0.6755	1	0_none
1700012B07Rik	28	28 dpi	0	1	1	0_none
1700012B09Rik	28	28 dpi	0.4813	0.4326	1	0_none
1700012B15Rik	28	28 dpi	0.2407	0.3386	1	0_none
1700012D01Rik	28	28 dpi	0.708	0.2105	1	0_none
1700012D14Rik	28	28 dpi	-0.651	0.2959	1	0_none
1700012I11Rik	28	28 dpi	0	1	1	0_none
1700012L04Rik	28	28 dpi	2.573	0.1467	1	0_none
1700012P22Rik	28	28 dpi	0.2861	0.8268	1	0_none
1700013D24Rik	28	28 dpi	0	1	1	0_none
1700013F07Rik	28	28 dpi	-0.03794	0.9292	1	0_none
1700013G23Rik	28	28 dpi	0.6153	0.3076	1	0_none
1700013G24Rik	28	28 dpi	0	1	1	0_none
1700013H16Rik	28	28 dpi	1.169	0.4576	1	0_none
1700013N18Rik	28	28 dpi	0	1	1	0_none
1700014N06Rik	28	28 dpi	0	1	1	0_none
1700015E13Rik	28	28 dpi	0	1	1	0_none
1700015F17Rik	28	28 dpi	0.1014	0.9189	1	0_none
1700015G11Rik	28	28 dpi	0	1	1	0_none
1700016C15Rik	28	28 dpi	1.209	0.444	1	0_none
1700016D06Rik	28	28 dpi	0	1	1	0_none
1700016G22Rik	28	28 dpi	0	1	1	0_none
1700016H13Rik	28	28 dpi	-0.7584	0.5403	1	0_none
1700016K19Rik	28	28 dpi	0.4655	0.3756	1	0_none
1700016L04Rik	28	28 dpi	-0.229	0.8602	1	0_none
1700016L21Rik	28	28 dpi	0	1	1	0_none
1700016M24Rik	28	28 dpi	3.148	0.07971	1	0_none
1700016P04Rik	28	28 dpi	0	1	1	0_none
1700017B05Rik	28	28 dpi	-0.1572	0.4451	1	0_none
1700017D01Rik	28	28 dpi	0	1	1	0_none
1700017G19Rik	28	28 dpi	0.5982	0.708	1	0_none
1700017J07Rik	28	28 dpi	3.817	0.02947	1	0_none
1700017N19Rik	28	28 dpi	2.582	0.1458	1	0_none
1700018A04Rik	28	28 dpi	-1.779	0.09085	1	0_none
1700018B08Rik	28	28 dpi	0.7167	0.6618	1	0_none
1700018B24Rik	28	28 dpi	0	1	1	0_none
1700018C11Rik	28	28 dpi	0	1	1	0_none
1700018F24Rik	28	28 dpi	-0.05335	0.9697	1	0_none
1700018G05Rik	28	28 dpi	0	1	1	0_none
1700018L02Rik	28	28 dpi	0.5827	0.4478	1	0_none
1700018L24Rik	28	28 dpi	-2.48	0.1104	1	0_none
1700019A02Rik	28	28 dpi	1.047	0.3036	1	0_none
1700019B03Rik	28	28 dpi	2.139	0.01113	1	0_none
1700019B21Rik	28	28 dpi	0	1	1	0_none
1700019D03Rik	28	28 dpi	-0.1323	0.7286	1	0_none
1700019E08Rik	28	28 dpi	0	1	1	0_none
1700019E19Rik	28	28 dpi	0.3004	0.2558	1	0_none
1700019G17Rik	28	28 dpi	0.1551	0.4348	1	0_none
1700019G24Rik	28	28 dpi	0.844	0.2728	1	0_none
1700019L03Rik	28	28 dpi	0.364	0.4958	1	0_none
1700019M22Rik	28	28 dpi	0	1	1	0_none
1700019N12Rik	28	28 dpi	0.3717	0.4409	1	0_none
1700019N19Rik	28	28 dpi	-0.6099	0.5521	1	0_none
1700019O17Rik	28	28 dpi	-1.976	0.2424	1	0_none
1700020A23Rik	28	28 dpi	0	1	1	0_none
1700020D05Rik	28	28 dpi	-0.2813	0.5329	1	0_none
1700020G17Rik	28	28 dpi	2.582	0.1458	1	0_none
1700020I14Rik	28	28 dpi	-0.3302	0.09606	1	0_none
1700020L24Rik	28	28 dpi	0.7214	0.4712	1	0_none
1700020M21Rik	28	28 dpi	0	1	1	0_none
1700020N01Rik	28	28 dpi	-0.4926	0.7291	1	0_none
1700020N15Rik	28	28 dpi	1.809	0.2834	1	0_none
1700020N18Rik	28	28 dpi	-1.42	0.318	1	0_none
1700020O03Rik	28	28 dpi	-0.1239	0.4541	1	0_none
1700021C14Rik	28	28 dpi	0.1099	0.8165	1	0_none
1700021F05Rik	28	28 dpi	0.1254	0.5768	1	0_none
1700021F07Rik	28	28 dpi	-0.218	0.8909	1	0_none
1700021K19Rik	28	28 dpi	0.117	0.4071	1	0_none
1700021N21Rik	28	28 dpi	-0.95	0.5595	1	0_none
1700022A21Rik	28	28 dpi	0	1	1	0_none
1700022A22Rik	28	28 dpi	0	1	1	0_none
1700022E09Rik	28	28 dpi	0	1	1	0_none
1700022H16Rik	28	28 dpi	0	1	1	0_none
1700022I11Rik	28	28 dpi	0	1	1	0_none
1700022P22Rik	28	28 dpi	-0.115	0.9468	1	0_none
1700023A16Rik	28	28 dpi	2.582	0.1458	1	0_none
1700023C21Rik	28	28 dpi	0	1	1	0_none
1700023E05Rik	28	28 dpi	-0.8215	0.1216	1	0_none
1700023F02Rik	28	28 dpi	0	1	1	0_none
1700023F06Rik	28	28 dpi	0.5649	0.2145	1	0_none
1700023L04Rik	28	28 dpi	0.3221	0.6529	1	0_none
1700024B18Rik	28	28 dpi	0	1	1	0_none
1700024F13Rik	28	28 dpi	-0.02887	0.9589	1	0_none
1700024G13Rik	28	28 dpi	1.133	0.09863	1	0_none
1700024P03Rik	28	28 dpi	0	1	1	0_none
1700024P04Rik	28	28 dpi	0	1	1	0_none
1700024P16Rik	28	28 dpi	-0.4944	0.3846	1	0_none
1700025B11Rik	28	28 dpi	0	1	1	0_none
1700025C18Rik	28	28 dpi	0	1	1	0_none
1700025E21Rik	28	28 dpi	-0.4377	0.7036	1	0_none
1700025F22Rik	28	28 dpi	0	1	1	0_none
1700025F24Rik	28	28 dpi	-2.799	0.1109	1	0_none
1700025G04Rik	28	28 dpi	-0.1882	0.1829	1	0_none
1700025K23Rik	28	28 dpi	-0.05002	0.8502	1	0_none
1700025K24Rik	28	28 dpi	0	1	1	0_none
1700025M24Rik	28	28 dpi	0	1	1	0_none
1700025N23Rik	28	28 dpi	-3.948	0.03126	1	0_none
1700026D08Rik	28	28 dpi	0.3266	0.4957	1	0_none
1700026D11Rik	28	28 dpi	1.809	0.2834	1	0_none
1700026F02Rik	28	28 dpi	0	1	1	0_none
1700026J04Rik	28	28 dpi	0.8679	0.09249	1	0_none
1700026L06Rik	28	28 dpi	0.524	0.4483	1	0_none
1700027A15Rik	28	28 dpi	-1.723	0.2256	1	0_none
1700027A23Rik	28	28 dpi	0.7158	0.1609	1	0_none
1700027D21Rik	28	28 dpi	1.218	0.2786	1	0_none
1700027F09Rik	28	28 dpi	0	1	1	0_none
1700027H10Rik	28	28 dpi	0	1	1	0_none
1700027I24Rik	28	28 dpi	0	1	1	0_none
1700027J07Rik	28	28 dpi	-1.523	0.3329	1	0_none
1700028B04Rik	28	28 dpi	1.809	0.2834	1	0_none
1700028D13Rik	28	28 dpi	-1.976	0.2424	1	0_none
1700028E10Rik	28	28 dpi	0.3632	0.6117	1	0_none
1700028I16Rik	28	28 dpi	-3.659	0.03541	1	0_none
1700028J19Rik	28	28 dpi	-0.2052	0.6256	1	0_none
1700028K03Rik	28	28 dpi	0.01823	0.9698	1	0_none
1700028M03Rik	28	28 dpi	-2.799	0.1109	1	0_none
1700028P14Rik	28	28 dpi	0.07603	0.876	1	0_none
1700028P15Rik	28	28 dpi	0	1	1	0_none
1700029B22Rik	28	28 dpi	0	1	1	0_none
1700029F09Rik	28	28 dpi	-0.2346	0.4739	1	0_none
1700029F12Rik	28	28 dpi	1.861	0.2768	1	0_none
1700029G01Rik	28	28 dpi	0.2365	0.5712	1	0_none
1700029H14Rik	28	28 dpi	1.135	0.4695	1	0_none
1700029I01Rik	28	28 dpi	-0.2709	0.5151	1	0_none
1700029I15Rik	28	28 dpi	-0.04697	0.9219	1	0_none
1700029J03Rik	28	28 dpi	0	1	1	0_none
1700029J07Rik	28	28 dpi	-0.09725	0.7337	1	0_none
1700029J11Rik	28	28 dpi	0.7226	0.5692	1	0_none
1700029M20Rik	28	28 dpi	-0.5296	0.7088	1	0_none
1700029N11Rik	28	28 dpi	0	1	1	0_none
1700029P11Rik	28	28 dpi	-1.983	0.2415	1	0_none
1700030A11Rik	28	28 dpi	-1.861	0.2564	1	0_none
1700030C10Rik	28	28 dpi	-1.077	0.03412	1	0_none
1700030F04Rik	28	28 dpi	-1.371	0.3056	1	0_none
1700030F18Rik	28	28 dpi	0.7587	0.5093	1	0_none
1700030J22Rik	28	28 dpi	0.1963	0.497	1	0_none
1700030K09Rik	28	28 dpi	-0.0285	0.8992	1	0_none
1700030L20Rik	28	28 dpi	-2.708	0.119	1	0_none
1700030M09Rik	28	28 dpi	2.27	0.09199	1	0_none
1700030N03Rik	28	28 dpi	0	1	1	0_none
1700030O20Rik	28	28 dpi	0	1	1	0_none
1700031A10Rik	28	28 dpi	0	1	1	0_none
1700031F05Rik	28	28 dpi	0	1	1	0_none
1700031M16Rik	28	28 dpi	0	1	1	0_none
1700031P21Rik	28	28 dpi	0	1	1	0_none
1700034E13Rik	28	28 dpi	0	1	1	0_none
1700034F02Rik	28	28 dpi	-0.09461	0.9314	1	0_none
1700034G24Rik	28	28 dpi	0	1	1	0_none
1700034H14Rik	28	28 dpi	-0.0278	0.9019	1	0_none
1700034H15Rik	28	28 dpi	0.2699	0.4453	1	0_none
1700034I23Rik	28	28 dpi	0	1	1	0_none
1700034J05Rik	28	28 dpi	0	1	1	0_none
1700034K08Rik	28	28 dpi	0	1	1	0_none
1700034O15Rik	28	28 dpi	1.861	0.2768	1	0_none
1700034P13Rik	28	28 dpi	0.02559	0.9803	1	0_none
1700036G14Rik	28	28 dpi	1.804	0.2842	1	0_none
1700037C18Rik	28	28 dpi	0.3435	0.3669	1	0_none
1700037H04Rik	28	28 dpi	0.4565	0.05679	1	0_none
1700039E15Rik	28	28 dpi	0	1	1	0_none
1700039E22Rik	28	28 dpi	-1.097	0.4175	1	0_none
1700040I03Rik	28	28 dpi	0.2527	0.2772	1	0_none
1700040L02Rik	28	28 dpi	-0.2071	0.6308	1	0_none
1700040N02Rik	28	28 dpi	0.1878	0.8077	1	0_none
1700041C23Rik	28	28 dpi	0	1	1	0_none
1700041M19Rik	28	28 dpi	0	1	1	0_none
1700042B14Rik	28	28 dpi	-1.976	0.2424	1	0_none
1700042G07Rik	28	28 dpi	0	1	1	0_none
1700042G15Rik	28	28 dpi	0	1	1	0_none
1700042O10Rik	28	28 dpi	-3.715	0.04157	1	0_none
1700044C05Rik	28	28 dpi	0	1	1	0_none
1700044K03Rik	28	28 dpi	0	1	1	0_none
1700045H11Rik	28	28 dpi	0	1	1	0_none
1700045I19Rik	28	28 dpi	0.8016	0.264	1	0_none
1700046C09Rik	28	28 dpi	0	1	1	0_none
1700047G03Rik	28	28 dpi	0	1	1	0_none
1700047I17Rik2	28	28 dpi	0.6305	0.2171	1	0_none
1700047L14Rik	28	28 dpi	0	1	1	0_none
1700048M11Rik	28	28 dpi	0	1	1	0_none
1700048O20Rik	28	28 dpi	-0.05439	0.866	1	0_none
1700049E15Rik	28	28 dpi	0	1	1	0_none
1700049E22Rik	28	28 dpi	0	1	1	0_none
1700049G17Rik	28	28 dpi	-0.2957	0.2186	1	0_none
1700049L16Rik	28	28 dpi	0	1	1	0_none
1700051A21Rik	28	28 dpi	3.145	0.07999	1	0_none
1700052I22Rik	28	28 dpi	0	1	1	0_none
1700052K11Rik	28	28 dpi	-0.2798	0.3495	1	0_none
1700052N19Rik	28	28 dpi	-0.1828	0.295	1	0_none
1700054A03Rik	28	28 dpi	0	1	1	0_none
1700054K19Rik	28	28 dpi	0	1	1	0_none
1700054M17Rik	28	28 dpi	-0.1032	0.941	1	0_none
1700054N08Rik	28	28 dpi	0.04164	0.7936	1	0_none
1700054O13Rik	28	28 dpi	-2.708	0.119	1	0_none
1700055C04Rik	28	28 dpi	0	1	1	0_none
1700055N04Rik	28	28 dpi	2.222	0.1207	1	0_none
1700056E22Rik	28	28 dpi	1.391	0.2714	1	0_none
1700057G04Rik	28	28 dpi	-3.326	0.05832	1	0_none
1700057H15Rik	28	28 dpi	-0.781	0.6351	1	0_none
1700057K13Rik	28	28 dpi	-0.5912	0.4546	1	0_none
1700058G18Rik	28	28 dpi	1.451	0.3842	1	0_none
1700060C16Rik	28	28 dpi	0	1	1	0_none
1700060C20Rik	28	28 dpi	-0.9041	0.576	1	0_none
1700061F12Rik	28	28 dpi	0	1	1	0_none
1700061G19Rik	28	28 dpi	-0.3171	0.7212	1	0_none
1700061I17Rik	28	28 dpi	1.809	0.2834	1	0_none
1700061J05Rik	28	28 dpi	-1.976	0.2424	1	0_none
1700063A18Rik	28	28 dpi	0	1	1	0_none
1700063D05Rik	28	28 dpi	-0.5588	0.2024	1	0_none
1700063O14Rik	28	28 dpi	-0.8253	0.1554	1	0_none
1700064J06Rik	28	28 dpi	0	1	1	0_none
1700064M15Rik	28	28 dpi	-2.714	0.1185	1	0_none
1700065D16Rik	28	28 dpi	1.898	0.07222	1	0_none
1700065I16Rik	28	28 dpi	0	1	1	0_none
1700065I17Rik	28	28 dpi	1.804	0.2842	1	0_none
1700065J11Rik	28	28 dpi	0	1	1	0_none
1700065J18Rik	28	28 dpi	1.774	0.22	1	0_none
1700065O20Rik	28	28 dpi	0	1	1	0_none
1700066B17Rik	28	28 dpi	2.618	0.1421	1	0_none
