our_dpi	aguzzi_dpi	gene	this_study_log2fc	sorce_nuvolone_log2fc	this_study_padj	sorce_nuvolone_p_bonf	celltype
89	84	Trim35	-0.00205985055039029	-0.04279	0.999662388620542	1	0_none
89	84	Mxd4	0.00456055620733064	0.1308	0.999662388620542	1	0_none
89	84	Polr2a	0.00365715893257626	0.04624	0.999662388620542	1	0_none
89	84	Serpina1a	0.01675395615640847	0	0.999662388620542	1	0_none
89	84	Plekhb1	-0.00258043487679885	0.00701	0.999662388620542	1	0_none
89	84	Rpl32	-0.00203580851812056	-0.007496	0.999662388620542	1	0_none
89	84	Ykt6	0.00252411209745453	0.03688	0.999662388620542	1	0_none
89	84	Arpc1a	-0.00271308211395459	0.01513	0.999662388620542	1	0_none
89	84	Atg10	0.00610142613498364	-0.1235	0.999662388620542	1	0_none
89	84	Rad52	0.00789619253539393	-0.04683	0.999662388620542	1	0_none
89	84	Hnrnph1	-0.00231354829808201	-0.1592	0.999662388620542	1	0_none
89	84	Nucks1	-0.00325102511407449	-0.156	0.999662388620542	1	0_none
89	84	Fam193b	0.00431610722592952	0.2619	0.999662388620542	1	0_none
89	84	Sar1b	0.0044475345706704	0.00154	0.999662388620542	1	0_none
89	84	Gtf2i	0.00316293027042595	0.03252	0.999662388620542	1	0_none
89	84	Ralyl	-0.00428416273035153	-0.01829	0.999662388620542	1	0_none
89	84	Ptges3	-0.00372602357768779	-0.2083	0.999662388620542	1	0_none
89	84	Bcl2l2	-0.0077162507602762	0.147	0.999662388620542	1	0_none
89	84	Clec16a	-0.00388972039787213	0.04485	0.999662388620542	1	0_none
89	84	Cyfip2	-0.00262269087197349	-0.004511	0.999662388620542	1	0_none
89	84	2510002D24Rik	-0.00616647044146506	0.03319	0.999662388620542	1	0_none
89	84	Tmem175	0.00532129085929042	0.1086	0.999662388620542	1	0_none
89	84	Adra2c	0.00553874841354386	0.1745	0.999662388620542	1	0_none
89	84	Utp15	0.00706528623169319	-0.04647	0.999662388620542	1	0_none
89	84	Rrp1	0.00251508000138052	0.1264	0.999662388620542	1	0_none
89	84	Limk2	-0.00332603757514296	0.1345	0.999662388620542	1	0_none
89	84	Tollip	-0.00366628760749947	0.06642	0.999662388620542	1	0_none
89	84	Trim24	0.00673380880643798	-0.0964	0.999662388620542	1	0_none
89	84	Apoa2	-0.01442590572685371	0.4978	0.999662388620542	1	0_none
89	84	Man2c1	-0.00598514205067352	0.175	0.999662388620542	1	0_none
