gene	log2fold_change	base_mean	pvalue	padj	celltype
Ngf	0.5468534893286185	1.8806062443462144	0.2720620817483264	0.6712870573522443	0_none
Gm16062	-0.6406220303974943	1.182432050387337	0.2719191364407452	0.6711296764904332	0_none
Ndufb9	0.04416545554154905	567.7399947340874	0.27181896543013334	0.6709801103265892	0_none
Arl5b	-0.14440132224491867	20.82978323568067	0.27175644952496636	0.6709234650764895	0_none
Dxo	-0.21877834117765452	13.8773389424424	0.2717089168026557	0.6709037998115378	0_none
AI987944	-0.12180179336956735	39.96929138149709	0.2714685571402683	0.6706761185427481	0_none
Fhod3	-0.14036341776047337	23.69068627692156	0.2714625975826161	0.6706761185427481	0_none
H2-Ke6	-0.7546149814267803	0.8168659969153188	0.2715501271843442	0.6706761185427481	0_none
Meg3	0.05396413961160171	8276.567779928591	0.27149471313006923	0.6706761185427481	0_none
Pigc	0.14347574084282505	28.04188775171251	0.2715306713927796	0.6706761185427481	0_none
Znhit6	-0.13664721286900144	46.279273406842606	0.2715771543945806	0.6706761185427481	0_none
Zbtb43	-0.14320339234012333	21.229548484733144	0.27129521444488564	0.6705658390856386	0_none
Lpin3	0.3382092553089026	3.4173777252579116	0.2710454324703852	0.670046122316351	0_none
Gipc1	-0.10459865161524597	52.07587677354822	0.27095186374869834	0.6699124820243408	0_none
Gm6316	-0.7678239757312985	0.9338974810673676	0.27087066663097276	0.6699017698512818	0_none
Nit1	-0.14838274410668134	20.350227951102926	0.27090802287510257	0.6699017698512818	0_none
9330179D12Rik	-0.4603798068260194	2.226819207899298	0.2707409081648664	0.6697479421422758	0_none
Col6a4	-0.46585729919128166	2.0331162387057415	0.27076681666579977	0.6697479421422758	0_none
Tmpo	-0.08976319377870799	66.52022749026894	0.2707537082910755	0.6697479421422758	0_none
Rln1	0.5137256241005181	1.5947219396460564	0.27059497009841554	0.6696625628765993	0_none
Trappc13	-0.08466223502332004	96.21908424260192	0.2706138169869343	0.6696625628765993	0_none
9130016M20Rik	-0.5777441419096564	1.166655663004185	0.27043467567748924	0.6694146512098551	0_none
Gnb1	0.0500352247737567	361.8691554788839	0.27027620573800026	0.6692926901568946	0_none
