dpi	gene	log2fold_change	base_mean	pvalue	padj
89	Abhd8	9.510667810935136e-4	85.48177440621144	0.9945294285516608	0.999662388620542
89	Rnf32	0.00255624034853296	10.564091346765268	0.994320758058859	0.999662388620542
89	Hmbox1	-0.00191185738352111	18.57533212290652	0.9939911187302536	0.999662388620542
89	Coq10b	0.00203407243998179	19.453486337393343	0.9938753956696466	0.999662388620542
89	Fam163b	0.00123152697075263	77.74113870701221	0.9938696485678324	0.999662388620542
89	Urm1	-0.00127059590360205	50.427702945811006	0.993869307258874	0.999662388620542
89	Ccl27b	0.01109012129118365	10.623335063457084	0.9937093648102066	0.999662388620542
89	Rbpj	-0.00257757851508537	11.474187532447797	0.9933750216441646	0.999662388620542
89	Zmynd8	-0.00120893888070618	86.00802395758866	0.9933425563416431	0.999662388620542
89	Slc15a2	-0.00235285046194357	20.89022787479751	0.9932169809548644	0.999662388620542
89	Aurkaip1	-0.00128117054855284	78.48755245482117	0.993179153852577	0.999662388620542
89	Fjx1	0.0026107875458361	16.873406482993826	0.9930307268777347	0.999662388620542
89	Kif13b	0.0019831146778939	31.855245975208963	0.9929831954410164	0.999662388620542
89	Mogs	-0.00224417043334986	19.597328288754237	0.9929041317592144	0.999662388620542
89	Rps15a	-0.0014317781244061	310.23524459938324	0.9928930938753872	0.999662388620542
89	Dnajb11	0.00168380582745997	38.6709430671408	0.9926944313889854	0.999662388620542
89	Katna1	-0.00240382292312227	16.60652158469908	0.9926907574224564	0.999662388620542
89	Zzz3	-0.00246975273157756	19.065560095740462	0.9926009879587202	0.999662388620542
89	Gm9844	-0.02371495951657478	45.65610135623173	0.9925398195784344	0.999662388620542
89	0610010F05Rik	-0.00283132108033011	12.636195006619417	0.9924409975496904	0.999662388620542
89	Fam120b	-0.00223154978151563	20.07009660551692	0.9924204743154474	0.999662388620542
89	Prps2	-0.00284738690629045	13.96406894455492	0.992345673246456	0.999662388620542
89	Fahd2a	0.0028751557528729	13.746514083525556	0.9923220925903704	0.999662388620542
89	Tmem80	-0.00193601714554344	37.608553361851854	0.9918374407877216	0.999662388620542
89	Serpinb6a	0.00271965833528338	20.463202185652133	0.9918013713239564	0.999662388620542
89	Cryzl1	0.00240119319148881	25.035331046124742	0.9917705504104358	0.999662388620542
89	Ptcd3	0.00194331893023972	36.46288824625369	0.9916527174594189	0.999662388620542
89	Hpca	0.00600240050961718	266.84028859034754	0.991608345146008	0.999662388620542
89	Zfp2	0.00363097212761107	11.544099473297836	0.9915594827246196	0.999662388620542
89	Fam81a	0.00189658717237653	42.82656534099897	0.9915487923473209	0.999662388620542
89	Ttll12	0.00360922306580957	10.173578445435025	0.99152028740624365	0.999662388620542
89	Hdac4	0.00197932560019855	51.575631936166985	0.9915119642675844	0.999662388620542
89	Atp5e	0.00173245639469477	196.2353721526771	0.9914872882240175	0.999662388620542
89	Psmb3	0.00252756902486318	136.89862376918762	0.9914780018474456	0.999662388620542
89	Hspa9	0.00129389501121866	122.66756456287716	0.9912544408957182	0.999662388620542
89	Rny1	0.00393213914352484	17.693657569584225	0.9911994056439586	0.999662388620542
89	Acad8	-0.00307820762397719	18.858318214380414	0.9910755001842712	0.999662388620542
89	Hsd17b4	-0.0038072378582134	15.434758827921636	0.9910748075207196	0.999662388620542
89	Nadk2	0.0038291057586143	10.048627332807794	0.9910707394574156	0.999662388620542
