gene	meanexp	l2fc	pval	celltype	color
Cd81	7.739201295562654	3.073950712676069	5.887773471315105e-13	1_oligodendrocyte	#37FDFC
Cd84	1.4866779134542114	9.439420712366296	6.473096545060091e-265	2_microglia	#CD00CD
Cd86	1.1797578081775362	9.20609186235422	2.0300581474793235e-237	2_microglia	#CD00CD
Cd9	3.5931532484109634	5.116106672920097	3.4350464031458747e-62	1_oligodendrocyte	#37FDFC
Cdc37l1	8.774984069606434	2.993785301503956	4.711910638497594e-12	1_oligodendrocyte	#37FDFC
Cdh19	4.291803430743832	5.823967437051743	2.7891783938354478e-189	3_astrocyte	#F0A804
Cdh20	4.5080151456078505	2.722676099244471	2.7334494676142343e-9	1_oligodendrocyte	#37FDFC
Cdh23	2.0509801421032563	7.200795620839268	1.6383562857302483e-114	2_microglia	#CD00CD
Cdk19	5.185808481618066	3.413439861608103	1.9322740792512803e-17	1_oligodendrocyte	#37FDFC
Celrr	1.4082449230392873	5.076994604186461	3.232877505843051e-127	3_astrocyte	#F0A804
Cep85l	2.261622240203804	2.20653000986806	1.317421639946629e-13	3_astrocyte	#F0A804
Cerk	1.7004450744977904	2.3968891267644215	0.00131167661417747	2_microglia	#CD00CD
Cers2	1.2245890554362973	4.339238068120468	7.166818176604459e-36	1_oligodendrocyte	#37FDFC
Cfh	2.424130375360688	6.723130102011813	7.467533734050673e-91	2_microglia	#CD00CD
Cflar	1.391371143920928	4.673509623703099	2.0098242702983102e-24	2_microglia	#CD00CD
Chd7	1.788090948637279	4.270584302154287	2.423072726876289e-34	1_oligodendrocyte	#37FDFC
Chn2	2.585128816549681	2.53557916625412	3.8540367649754e-4	2_microglia	#CD00CD
Chst2	1.6794741361346226	3.8964242486067	5.848489641751241e-60	3_astrocyte	#F0A804
Cipc	2.7334482424073956	2.611499406169784	2.5031887241109377e-8	1_oligodendrocyte	#37FDFC
Ckb	12.760576137377049	2.022120215820348	3.969531212254022e-11	3_astrocyte	#F0A804
Cldn10	2.7004738645875417	5.191443845515359	3.747287956492155e-136	3_astrocyte	#F0A804
Cldn11	6.563935229366536	7.758778646462535	4.097298707227712e-252	1_oligodendrocyte	#37FDFC
Cldn14	1.0681344121475542	8.743078212104894	1.5245199530760588e-291	1_oligodendrocyte	#37FDFC
Cldnd1	1.0349872419592612	2.1646181548743546	3.2715073513001365e-5	1_oligodendrocyte	#37FDFC
Clic4	2.7013617816651276	5.051226043120254	1.1058082148843743e-58	1_oligodendrocyte	#37FDFC
Clmn	3.758504160986665	4.554033737160376	6.610006686474022e-94	3_astrocyte	#F0A804
Clu	15.507436697450393	4.68224421486654	6.342112727040988e-102	3_astrocyte	#F0A804
Clybl	2.2151370591649524	2.9581849379755853	2.313433987703048e-28	3_astrocyte	#F0A804
Cmtm5	2.8896377083346323	5.456223169022602	2.3867557818276433e-77	1_oligodendrocyte	#37FDFC
Cnp	8.27485956580547	6.050010200724035	2.5545480357783987e-110	1_oligodendrocyte	#37FDFC
Cntfr	1.043651405654055	2.7240178370833696	8.614416793912922e-23	3_astrocyte	#F0A804
Cntn2	2.2396879952825826	3.6021332556893135	2.3564786175453734e-20	1_oligodendrocyte	#37FDFC
Cobll1	1.791538254336861	5.111244132211573	1.7489416515493474e-61	1_oligodendrocyte	#37FDFC
Cpe	14.108941844162898	2.797101034621427	1.3915715744501502e-24	3_astrocyte	#F0A804
Cpm	1.4510505221627152	6.731847235279432	4.885764540382373e-154	1_oligodendrocyte	#37FDFC
Cpox	1.6501987206539797	3.239632935790342	6.420170305819269e-15	1_oligodendrocyte	#37FDFC
Cpq	1.957597337943347	3.6303746345867056	2.5887177495167088e-49	3_astrocyte	#F0A804
Creb5	2.8469441531321107	5.482969839095984	2.8468493289427855e-78	1_oligodendrocyte	#37FDFC
Crlf3	2.3602062788052676	3.681290935102168	2.3751157750216422e-51	3_astrocyte	#F0A804
Crot	1.4795484634463398	3.280330714235387	2.6631497636648853e-37	3_astrocyte	#F0A804
Cryab	6.081842786148003	5.437077202930314	1.566621011605608e-76	1_oligodendrocyte	#37FDFC
Csf1r	4.869260547398201	8.590452546474303	8.963411868515079e-230	2_microglia	#CD00CD
Csf3r	1.511446904406364	8.731763062877505	8.147363582367082e-230	2_microglia	#CD00CD
Cspg5	8.11038377909003	2.8009783375017676	1.1781212411660896e-24	3_astrocyte	#F0A804
Csrp1	4.391602283906566	4.89972596630901	4.220033545585226e-54	1_oligodendrocyte	#37FDFC
Cst3	37.679784711899224	4.271929031077143	1.9822575866007497e-78	3_astrocyte	#F0A804
Ctsd	4.432034011460201	4.151197542588934	9.885895071901963e-17	2_microglia	#CD00CD
Ctsh	1.3999864451216768	6.506296557923926	5.430433828638171e-80	2_microglia	#CD00CD
Ctso	1.4424194099470875	3.959869645997168	8.34945685496176e-63	3_astrocyte	#F0A804
Ctss	7.062931615638859	8.2856817603525	1.2143382805028296e-201	2_microglia	#CD00CD
Ctsz	1.4952932146549602	3.8609087345569177	3.164806700859761e-13	2_microglia	#CD00CD
Cttnbp2nl	1.9928268589982021	3.533160754173558	3.916681908790794e-10	2_microglia	#CD00CD
Cuedc1	1.083341083532566	2.2525185014208473	3.0104091448801063e-14	3_astrocyte	#F0A804
Cx3cr1	4.9893363078836375	5.809250853569757	1.8564522460002163e-53	2_microglia	#CD00CD
Cxcl14	1.905695451486832	3.540563678202862	9.804263917288597e-46	3_astrocyte	#F0A804
