gene	gene_length_bp	base_mean	log2fold_change	padj
Nup85	19551	78.46466037153722	-0.00132487459317937	0.997041881862937
Pcdhb15	2800	3.0376400481905272	-0.00636944094907443	0.997041881862937
Pdia4	17289	6.202329246659622	-0.00531872025933179	0.997041881862937
Ppp3r1	41112	2115.4256147241563	8.779588670975922e-4	0.997041881862937
Pwwp3b	28293	2.462006616656255	-0.00732035979079186	0.997041881862937
Qpct	38472	3.5618638890748615	0.00624670747970203	0.997041881862937
Rad51c	28309	10.994590765392257	-0.00342252769031683	0.997041881862937
Rapgef6	176438	31.340465734357977	-0.00213607320055904	0.997041881862937
Rhd	31636	0.8149581018241953	0.01269804275044013	0.997041881862937
Rnf113a1	1222	14.49408974752906	0.00337214895585885	0.997041881862937
Rpl28-ps1	413	724.3125416845611	-0.00852634545820741	0.997041881862937
Rpusd3	4021	9.357418988593931	0.00412874484622751	0.997041881862937
Sart3	30064	55.03111274316937	0.00151382538959286	0.997041881862937
Selenoo	11256	9.3007650990789	-0.00355691635397927	0.997041881862937
Sidt2	17401	55.685803365533715	-0.00172726808820093	0.997041881862937
Slc1a5	16934	7.294603744166399	0.00477711087616092	0.997041881862937
Slc36a1	31980	89.54576583246302	0.00136416566185032	0.997041881862937
Snrnp25	3569	56.5504743816688	0.00166700581129363	0.997041881862937
Tm9sf3	53153	414.50205118747454	8.42294816467232e-4	0.997041881862937
Tmem106c	6075	40.98454956429566	-0.00176889584784164	0.997041881862937
Tpra1	9987	42.70382702447589	-0.00185713665068611	0.997041881862937
Trib3	6610	2.587482319754444	0.00706332112519913	0.997041881862937
Ttc9c	10258	46.23080036758633	-0.00198023812255688	0.997041881862937
Ufm1	10454	92.90713518929437	0.00135504142960843	0.997041881862937
Wdr89	38941	6.041037416616896	-0.00496682820627308	0.997041881862937
Zfp384	28725	12.02221171775582	-0.00336023592039346	0.997041881862937
Zfp709	13708	6.1138648817163475	0.00497976718342691	0.997041881862937
A230056P14Rik	18337	3.7068787676533264	-0.00700378421023075	0.9969884516931588
Ddx39b	11961	318.05798193991427	-0.00130771849308807	0.9969884516931588
Gm45930	291	1299.120533775662	0.00209143929349523	0.9969884516931588
Mnd1	67853	4.493979805102006	-0.00746307233776979	0.996950558477358
Egfl8	2622	1.5564961755835642	-0.01220890937089977	0.996915647568536
