gene	gene_length_bp	base_mean	log2fold_change	padj
Mapkbp1	54709	71.17127523462842	0.00157448491102753	0.997593703089766
Mrpl46	8295	61.74968227198073	-0.00122406914024688	0.9975175591941582
Pamr1	93029	23.529905348060957	-0.00223179141858568	0.9975175591941582
Cdc42ep5	13600	1.0430731506235975	-0.01008285529294727	0.9974843746728748
Arntl	106661	18.060103532750112	-0.0026321454113547	0.9974227451179044
Dcaf7	22452	152.03968641034604	9.386900168781708e-4	0.9974227451179044
Elf1	101300	2.9383104992420797	0.00518156609354654	0.9973918533654682
Thap3	6358	33.36873125706576	0.00205946613612998	0.997382674518614
4930525G20Rik	34391	1.004496619028883	0.01025660375365107	0.99734407172963
Dguok	26752	40.35693816030789	-0.0017489637742369	0.99734407172963
Hars2	9554	37.37764151930338	0.00174122658584782	0.99734407172963
Nos3	19664	3.1239981505691805	-0.00506139433091255	0.99734407172963
A630089N07Rik	81140	1.1217763346506926	-0.00876345918253993	0.9973390841587334
BC043934	2355	2.1961143613280503	-0.00650699455959858	0.9973390841587334
Gm6863	635	4.829012854319562	0.02631223087812237	0.9973390841587334
Hyi	2754	39.19316176333858	0.00273057525748147	0.9973390841587334
Nsun2	102034	251.7564180002368	9.23043163637808e-4	0.9973390841587334
Pepd	132329	44.57122824462744	-0.00166703742936164	0.9973390841587334
Rab3c	226809	355.7413434931678	6.699956152241546e-4	0.9973346248404402
Sec22c	25445	34.040509743117816	-0.00184988439108827	0.9973346248404402
Zswim8	16067	161.00818373604667	0.00120182825076236	0.9973346248404402
Tmod1	77097	1.7013045361360093	-0.00797652932239768	0.9973045645088758
Tmem69	4303	0.8116397403092583	0.01193005523988314	0.997299461535542
Eny2	10214	128.77095097262986	0.00100909562782761	0.9971035482643156
Plekhg6	18133	0.8823475183785773	-0.0115793917128745	0.9971035482643156
Serpina1a	9973	155.75624884440472	0.00386887990434298	0.9971035482643156
Mindy4	116839	2.8848382005089492	-0.00623060637877406	0.9970671309150648
2900041M22Rik	2610	0.90442228172131	0.01261273022213492	0.997041881862937
A730017L22Rik	33337	2.573484969486441	-0.00701068967746985	0.997041881862937
AU020206	13061	18.315659692820503	-0.00244024368856076	0.997041881862937
Apof	2156	36.68540428918987	-0.00435434298874564	0.997041881862937
Arid4b	136371	35.14126093096236	0.00211962477865522	0.997041881862937
B230322F03Rik	1568	2.3019014867714014	0.00700039319820538	0.997041881862937
C1galt1	30845	16.796918299904362	-0.00296520824158263	0.997041881862937
Cacnb1	21526	178.77370812514496	0.00134936786185422	0.997041881862937
Cic	26455	162.265061287219	8.781182006139965e-4	0.997041881862937
Col11a1	190178	7.14013852630248	-0.00456416363110206	0.997041881862937
Cop1	115320	66.67161800440871	0.00139968980411592	0.997041881862937
Crxos	21403	1.84128299766545	-0.01018899295965789	0.997041881862937
Csf3r	19890	5.073405708713048	-0.00543562270105593	0.997041881862937
Dpp3	21058	62.04286702594723	-0.00150493077706003	0.997041881862937
Dync2i1	56760	25.7845769203081	-0.00230645099769897	0.997041881862937
Ecrg4	11976	25.676548799949096	0.00256698015420306	0.997041881862937
Gimap4	7511	1.2450346218487318	-0.01194511012865109	0.997041881862937
Gm12251	791	2.3811027959249023	-0.03214382164062623	0.997041881862937
Gm15963	1481	2.8130497117771354	-0.00716123373890618	0.997041881862937
Gm26377	107	37.5153908202703	-0.01368639707984379	0.997041881862937
Gm34466	21079	4.194760947095688	0.00521127932786998	0.997041881862937
Gm42067	2007	16.820691153833398	0.00327472460002858	0.997041881862937
Gm45844	65272	5.75880045945761	0.00505327469063404	0.997041881862937
Gucy2e	18919	3.8645887477232193	0.0060729595223472	0.997041881862937
Hnrnpu	16689	466.1471907545245	-6.559407334545985e-4	0.997041881862937
Itpr3	64919	6.84290442657976	-0.00426424349663345	0.997041881862937
Jmjd4	8522	12.283501967335171	0.00322792994120098	0.997041881862937
Kansl1l	98314	1.7196259704945402	0.0079521409137238	0.997041881862937
Kpna3	74663	64.57793828555563	-0.00168621181934756	0.997041881862937
Lamc3	59248	2.6269021042403886	0.00743000311062302	0.997041881862937
Mipol1	266772	4.730696517731837	-0.00573533828156471	0.997041881862937
Mst1	4567	1.4824121595721755	0.0108957586482543	0.997041881862937
