FeatureID,FeatureName,microglia Average,microglia Log2 Fold Change,microglia P-Value
ENSMUSG00000015133,Lrrk1,1.096835534120329,5.437795836979973,1.281151046662878e-40
ENSMUSG00000056917,Sipa1,1.335371686116061,5.274804590277512,5.749264640098299e-37
ENSMUSG00000047250,Ptgs1,1.3046796755883934,5.1431213619250356,1.5434070737168638e-33
ENSMUSG00000050103,Agmo,3.1208928599712458,5.04081436753446,3.9549980239664597e-32
ENSMUSG00000045777,Ifitm10,3.4628126263759627,5.003264160846153,4.977244975594777e-31
ENSMUSG00000018593,Sparc,2.3961306464582544,4.939626539090453,9.432423078430737e-30
ENSMUSG00000021665,Hexb,12.231035423438033,4.86088388626561,1.7713044304421167e-28
ENSMUSG00000020023,Tmcc3,6.50778314451561,4.850825941734074,2.9016066780004793e-28
ENSMUSG00000033192,Lpcat2,3.552196376333731,4.850904617324572,5.104292552517757e-28
ENSMUSG00000063458,Lrmda,5.418485998945936,4.843831267447193,5.242876190536611e-28
ENSMUSG00000045312,Lhfpl2,1.7090603756985392,4.8418481297757445,1.4598491635800673e-27
ENSMUSG00000023008,Fmnl3,1.2804491409612875,4.825549548050418,3.829886859636702e-27
ENSMUSG00000034165,Ccnd3,3.398197867370347,4.755699371933231,3.6932366496763506e-26
ENSMUSG00000026031,Cflar,1.391371143920928,4.673509623703099,2.00982427029831e-24
ENSMUSG00000020009,Ifngr1,1.5270621378327214,4.662704252436123,2.8889493660689922e-24
ENSMUSG00000027695,Pld1,1.321910277989891,4.53063587213323,4.730052054609509e-22
ENSMUSG00000113313,Gm32036,1.251910955733807,4.542579952381151,5.460577995712633e-22
ENSMUSG00000029468,P2rx7,1.3579868517680265,4.52267800691757,1.3996859099551618e-21
ENSMUSG00000030844,Rgs10,1.517369923981879,4.4823605240533775,3.3884966019327386e-21
ENSMUSG00000020422,Tns3,1.6013691106891794,4.466575923377822,4.834049343435938e-21
ENSMUSG00000074622,Mafb,1.5270621378327214,4.462061225393973,8.050421620562892e-21
ENSMUSG00000019978,Epb41l2,6.3074773915982005,4.411571932980013,1.9594452407958455e-20
ENSMUSG00000039087,Rreb1,3.5871960374617733,4.374840568698737,8.206525023887031e-20
ENSMUSG00000060512,0610040J01Rik,1.8172900970329458,4.3751167706308,1.1486789045343235e-19
ENSMUSG00000031851,Ntpcr,1.0548359407666787,4.37661051335025,1.9933146131189e-19
