ensembl_gene_id	Gene	log2FC	padj	gene_biotype
ENSG00000120533	ENY2	-2.08e-01	4.31e-01	protein_coding
ENSG00000085274	MYNN	 2.51e-02	9.72e-01	protein_coding
ENSG00000278053	DDX52	 9.34e-02	8.28e-01	protein_coding
ENSG00000184060	ADAP2	 1.10e-01	8.40e-01	protein_coding
ENSG00000168291	PDHB	-3.13e-01	1.63e-01	protein_coding
ENSG00000064726	BTBD1	-2.78e-01	2.46e-01	protein_coding
ENSG00000166037	CEP57	-1.19e-01	7.61e-01	protein_coding
ENSG00000158985	CDC42SE2	 7.01e-02	8.95e-01	protein_coding
ENSG00000283050	GTF2IP12	 1.58e-01	7.31e-01	transcribed_unprocessed_pseudogene
ENSG00000229848	AC139149.1	 1.67e-01	7.37e-01	lncRNA
ENSG00000136813	ECPAS	-9.28e-03	9.83e-01	protein_coding
ENSG00000165338	HECTD2	 3.48e-01	3.33e-01	protein_coding
ENSG00000141934	PLPP2	 9.25e-02	7.25e-01	protein_coding
ENSG00000169612	RAMAC	-7.75e-03	9.86e-01	protein_coding
ENSG00000185722	ANKFY1	-2.18e-01	2.56e-01	protein_coding
ENSG00000164695	CHMP4C	-5.71e-01	9.59e-02	protein_coding
ENSG00000181856	SLC2A4	 4.28e-01	1.04e-01	protein_coding
ENSG00000213889	PPM1N	-3.88e-01	1.53e-01	protein_coding
ENSG00000170899	GSTA4	-2.02e-01	6.50e-01	protein_coding
ENSG00000138688	KIAA1109	 2.42e-01	6.11e-01	protein_coding
ENSG00000171451	DSEL	-1.14e-01	8.39e-01	protein_coding
ENSG00000133101	CCNA1	-5.27e-01	1.16e-01	protein_coding
ENSG00000122068	FYTTD1	-3.77e-01	1.77e-01	protein_coding
ENSG00000172113	NME6	-2.12e-01	4.47e-01	protein_coding
ENSG00000065268	WDR18	-4.47e-01	7.21e-03	protein_coding
ENSG00000121775	TMEM39B	 6.81e-02	8.37e-01	protein_coding
ENSG00000205746	AC126755.1	 6.80e-02	8.95e-01	transcribed_unprocessed_pseudogene
ENSG00000006047	YBX2	 3.55e-01	3.03e-01	protein_coding
ENSG00000130772	MED18	-6.66e-02	8.39e-01	protein_coding
ENSG00000167740	CYB5D2	-3.17e-01	3.93e-02	protein_coding
ENSG00000159079	CFAP298	 4.62e-03	9.93e-01	protein_coding
ENSG00000206195	DUXAP8	 3.58e-01	1.49e-01	lncRNA
ENSG00000138621	PPCDC	-5.54e-01	1.12e-04	protein_coding
