ensembl_gene_id	Gene	log2FC	padj	gene_biotype
ENSG00000185347	TEDC1	-7.30e-01	1.53e-07	protein_coding
ENSG00000168936	TMEM129	-3.63e-02	9.15e-01	protein_coding
ENSG00000143457	GOLPH3L	-1.30e-01	7.71e-01	protein_coding
ENSG00000277161	PIGW	 3.69e-01	1.89e-01	protein_coding
ENSG00000197858	GPAA1	-2.36e-02	9.42e-01	protein_coding
ENSG00000170802	FOXN2	-3.40e-01	2.41e-01	protein_coding
ENSG00000120705	ETF1	 4.65e-02	8.77e-01	protein_coding
ENSG00000104140	RHOV	-3.86e-01	1.66e-03	protein_coding
ENSG00000103599	IQCH	-1.22e-01	8.28e-01	protein_coding
ENSG00000111540	RAB5B	 2.00e-01	2.26e-01	protein_coding
ENSG00000162415	ZSWIM5	 1.26e-01	8.16e-01	protein_coding
ENSG00000186594	MIR22HG	 8.15e-02	8.57e-01	lncRNA
ENSG00000281912	LINC01144	 3.29e-01	3.90e-01	lncRNA
ENSG00000106330	MOSPD3	 2.94e-01	1.67e-01	protein_coding
ENSG00000145592	RPL37	 5.61e-01	3.10e-05	protein_coding
ENSG00000171453	POLR1C	-3.45e-01	8.20e-02	protein_coding
ENSG00000122705	CLTA	-3.14e-01	9.04e-03	protein_coding
ENSG00000186603	HPDL	-2.08e-01	2.27e-01	protein_coding
ENSG00000090863	GLG1	 4.11e-01	1.24e-02	protein_coding
ENSG00000167716	WDR81	 3.23e-01	1.81e-01	protein_coding
ENSG00000095739	BAMBI	 1.91e-01	6.35e-01	protein_coding
ENSG00000172057	ORMDL3	-1.92e-01	4.09e-01	protein_coding
ENSG00000234231	AC093616.1	-8.29e-02	8.81e-01	transcribed_unprocessed_pseudogene
ENSG00000105499	PLA2G4C	 3.46e-01	2.93e-01	protein_coding
ENSG00000203814	HIST2H2BF	 1.79e-01	5.93e-01	protein_coding
ENSG00000222041	CYTOR	 2.12e-01	2.65e-01	lncRNA
ENSG00000151014	NOCT	 3.33e-01	2.87e-01	protein_coding
ENSG00000101811	CSTF2	-6.08e-01	3.12e-04	protein_coding
ENSG00000259673	IQCH-AS1	-1.95e-01	6.30e-01	lncRNA
ENSG00000109381	ELF2	 1.06e-01	7.38e-01	protein_coding
ENSG00000010319	SEMA3G	 8.25e-02	8.92e-01	protein_coding
ENSG00000116266	STXBP3	 9.79e-02	8.64e-01	protein_coding
ENSG00000131584	ACAP3	-1.18e-01	6.89e-01	protein_coding
ENSG00000179091	CYC1	-5.18e-01	3.13e-03	protein_coding
ENSG00000103591	AAGAB	-5.15e-02	8.47e-01	protein_coding
ENSG00000151247	EIF4E	-1.88e-01	6.52e-01	protein_coding
ENSG00000127980	PEX1	-6.19e-02	9.19e-01	protein_coding
ENSG00000197782	ZNF780A	 2.78e-01	5.02e-01	protein_coding
ENSG00000133216	EPHB2	-7.47e-02	8.82e-01	protein_coding
ENSG00000189227	C15orf61	 2.62e-01	3.08e-01	protein_coding
ENSG00000163517	HDAC11	-3.08e-01	2.94e-01	protein_coding
ENSG00000134954	ETS1	 5.40e-02	9.19e-01	protein_coding
ENSG00000273015	AC008124.1	 4.08e-02	9.41e-01	lncRNA
ENSG00000180773	SLC36A4	 4.26e-01	1.76e-01	protein_coding
ENSG00000051382	PIK3CB	-3.69e-02	9.52e-01	protein_coding
ENSG00000181163	NPM1	-1.47e-01	5.85e-01	protein_coding
ENSG00000103066	PLA2G15	 2.35e-01	2.98e-01	protein_coding
ENSG00000132003	ZSWIM4	 5.18e-01	4.54e-03	protein_coding
ENSG00000171823	FBXL14	-8.90e-02	8.61e-01	protein_coding
ENSG00000267519	AC020916.1	 3.11e-01	4.67e-01	lncRNA
ENSG00000134371	CDC73	-2.79e-01	2.34e-01	protein_coding
ENSG00000119946	CNNM1	 3.82e-01	1.48e-01	protein_coding
ENSG00000163738	MTHFD2L	-8.95e-02	8.29e-01	protein_coding
ENSG00000123505	AMD1	 3.43e-01	1.36e-01	protein_coding
ENSG00000164823	OSGIN2	-5.35e-01	8.61e-02	protein_coding
ENSG00000196502	SULT1A1	-3.79e-01	6.64e-02	protein_coding
ENSG00000181135	ZNF707	-2.25e-01	4.15e-01	protein_coding
ENSG00000168876	ANKRD49	-3.27e-03	9.97e-01	protein_coding
ENSG00000187764	SEMA4D	 3.96e-01	2.46e-01	protein_coding
ENSG00000157259	GATAD1	 6.27e-02	8.66e-01	protein_coding
ENSG00000278259	MYO19	-9.35e-03	9.77e-01	protein_coding
ENSG00000159921	GNE	-2.14e-01	2.76e-01	protein_coding
ENSG00000134333	LDHA	-5.84e-02	8.14e-01	protein_coding
ENSG00000124571	XPO5	 2.45e-01	3.03e-01	protein_coding
ENSG00000131650	KREMEN2	 2.89e-01	3.80e-01	protein_coding
ENSG00000237943	PRKCQ-AS1	-1.19e-01	8.26e-01	lncRNA
ENSG00000169692	AGPAT2	-2.55e-01	1.65e-01	protein_coding
ENSG00000146433	TMEM181	 2.69e-01	3.59e-01	protein_coding
ENSG00000163399	ATP1A1	 3.80e-01	1.58e-02	protein_coding
ENSG00000167491	GATAD2A	 4.65e-01	1.94e-03	protein_coding
ENSG00000162073	PAQR4	-4.25e-02	8.71e-01	protein_coding
ENSG00000103534	TMC5	-7.17e-02	8.73e-01	protein_coding
ENSG00000108819	PPP1R9B	 4.35e-01	1.02e-01	protein_coding
ENSG00000083067	TRPM3	 4.63e-01	2.30e-01	protein_coding
ENSG00000187607	ZNF286A	-1.98e-01	5.63e-01	protein_coding
ENSG00000186854	TRABD2A	 2.75e-03	9.97e-01	protein_coding
ENSG00000111229	ARPC3	-1.01e-01	7.66e-01	protein_coding
ENSG00000087088	BAX	-9.88e-02	7.30e-01	protein_coding
ENSG00000147133	TAF1	 4.85e-03	9.93e-01	protein_coding
ENSG00000151726	ACSL1	-3.26e-01	6.91e-02	protein_coding
ENSG00000112893	MAN2A1	 1.73e-02	9.72e-01	protein_coding
ENSG00000266208	AC080112.1	-3.55e-01	1.33e-01	lncRNA
ENSG00000197930	ERO1A	-3.46e-01	1.22e-01	protein_coding
ENSG00000104142	VPS18	 2.48e-01	1.21e-01	protein_coding
ENSG00000034510	TMSB10	 1.27e-01	5.19e-01	protein_coding
ENSG00000071575	TRIB2	 2.33e-01	6.22e-01	protein_coding
ENSG00000127054	INTS11	-2.49e-01	1.15e-01	protein_coding
ENSG00000131871	SELENOS	-2.80e-01	1.09e-01	protein_coding
ENSG00000145868	FBXO38	-1.04e-01	8.39e-01	protein_coding
ENSG00000178038	ALS2CL	-3.19e-01	4.07e-01	protein_coding
ENSG00000124786	SLC35B3	 1.57e-01	7.30e-01	protein_coding
ENSG00000013619	MAMLD1	 3.26e-01	4.24e-01	protein_coding
ENSG00000066735	KIF26A	 4.54e-01	5.17e-02	protein_coding
ENSG00000137207	YIPF3	 8.99e-02	6.50e-01	protein_coding
ENSG00000198839	ZNF277	 2.89e-01	5.00e-01	protein_coding
ENSG00000250462	LRRC37BP1	 4.79e-02	9.37e-01	transcribed_unprocessed_pseudogene
ENSG00000271576	AL359504.2	 1.63e-01	7.52e-01	lncRNA
ENSG00000214401	KANSL1-AS1	-1.04e-01	8.38e-01	lncRNA
ENSG00000188021	UBQLN2	 7.86e-01	1.42e-06	protein_coding
ENSG00000197183	NOL4L	 3.60e-01	9.49e-02	protein_coding
ENSG00000214719	AC005562.1	-1.72e-01	7.29e-01	lncRNA
ENSG00000120053	GOT1	-1.01e-01	6.36e-01	protein_coding
ENSG00000183598	HIST2H3D	-2.08e-01	5.26e-01	protein_coding
ENSG00000203811	HIST2H3C	-1.79e-01	6.07e-01	protein_coding
ENSG00000181924	COA4	-2.76e-02	9.26e-01	protein_coding
ENSG00000082458	DLG3	-3.55e-01	1.12e-01	protein_coding
ENSG00000136895	GARNL3	 1.95e-01	6.93e-01	protein_coding
ENSG00000270882	HIST2H4A	 1.78e-01	6.19e-01	protein_coding
ENSG00000196510	ANAPC7	-1.90e-01	2.85e-01	protein_coding
ENSG00000197180	AC244090.1	 3.27e-01	4.15e-01	lncRNA
ENSG00000170577	SIX2	 2.45e-01	1.96e-01	protein_coding
ENSG00000120071	KANSL1	-2.84e-01	1.78e-01	protein_coding
ENSG00000103061	SLC7A6OS	-5.57e-01	7.03e-03	protein_coding
ENSG00000196371	FUT4	-4.90e-03	9.96e-01	protein_coding
ENSG00000203812	HIST2H2AA3	-9.72e-01	3.96e-07	protein_coding
ENSG00000133704	IPO8	 1.69e-01	7.32e-01	protein_coding
ENSG00000261716	AC239868.1	 2.36e-01	4.65e-01	transcribed_unprocessed_pseudogene
ENSG00000166716	ZNF592	 6.33e-01	3.06e-05	protein_coding
ENSG00000065717	TLE2	 4.61e-01	6.50e-03	protein_coding
ENSG00000103064	SLC7A6	-4.44e-02	8.90e-01	protein_coding
ENSG00000105953	OGDH	 3.98e-01	1.37e-02	protein_coding
ENSG00000132024	CC2D1A	 3.79e-01	7.76e-02	protein_coding
ENSG00000121578	B4GALT4	-3.22e-01	4.28e-01	protein_coding
ENSG00000272196	HIST2H2AA4	 3.03e-03	9.96e-01	protein_coding
ENSG00000166025	AMOTL1	-1.35e-01	6.12e-01	protein_coding
ENSG00000270276	HIST2H4B	 7.65e-02	8.34e-01	protein_coding
ENSG00000150995	ITPR1	-2.31e-01	4.11e-01	protein_coding
ENSG00000156508	EEF1A1	-2.42e-01	1.77e-01	protein_coding
ENSG00000132016	C19orf57	-1.70e-01	6.47e-01	protein_coding
ENSG00000168411	RFWD3	 1.36e-01	5.44e-01	protein_coding
ENSG00000105141	CASP14	 8.62e-01	1.62e-04	protein_coding
ENSG00000184110	EIF3C	-3.60e-02	8.75e-01	protein_coding
ENSG00000231156	AC093702.1	-2.06e-01	6.59e-01	lncRNA
ENSG00000140853	NLRC5	 1.22e-01	6.53e-01	protein_coding
ENSG00000183826	BTBD9	-1.38e-01	7.64e-01	protein_coding
ENSG00000204271	SPIN3	-2.28e-01	6.17e-01	protein_coding
ENSG00000264207	AC239868.2	 1.37e-01	6.28e-01	lncRNA
ENSG00000258017	AC011603.2	 2.12e-01	5.64e-01	lncRNA
ENSG00000179361	ARID3B	 2.68e-01	5.11e-01	protein_coding
ENSG00000184678	HIST2H2BE	 2.11e-01	6.53e-01	protein_coding
ENSG00000132357	CARD6	 3.08e-03	9.96e-01	protein_coding
ENSG00000258674	AC011448.1	-4.86e-01	1.36e-01	protein_coding
ENSG00000184260	HIST2H2AC	-1.48e-01	6.52e-01	protein_coding
ENSG00000178093	TSSK6	 1.74e-01	7.08e-01	protein_coding
ENSG00000131941	RHPN2	 2.31e-01	4.29e-01	protein_coding
ENSG00000066583	ISOC1	 1.81e-01	4.96e-01	protein_coding
ENSG00000065150	IPO5	 4.88e-02	8.92e-01	protein_coding
ENSG00000109618	SEPSECS	-1.78e-01	6.86e-01	protein_coding
ENSG00000182134	TDRKH	 2.16e-03	9.97e-01	protein_coding
ENSG00000152127	MGAT5	-7.05e-02	8.70e-01	protein_coding
ENSG00000123416	TUBA1B	-1.41e-01	3.57e-01	protein_coding
ENSG00000040933	INPP4A	-2.16e-01	5.05e-01	protein_coding
ENSG00000177105	RHOG	 1.78e-01	2.94e-01	protein_coding
ENSG00000204272	NBDY	 2.43e-01	1.61e-01	protein_coding
ENSG00000250067	YJEFN3	-1.02e-01	8.61e-01	protein_coding
ENSG00000175575	PAAF1	-2.42e-01	1.42e-01	protein_coding
ENSG00000178096	BOLA1	-3.67e-01	1.61e-02	protein_coding
ENSG00000120885	CLU	 4.20e-01	2.90e-02	protein_coding
ENSG00000204713	TRIM27	-3.41e-01	2.75e-02	protein_coding
ENSG00000186010	NDUFA13	-2.23e-01	2.34e-01	protein_coding
ENSG00000184270	HIST2H2AB	-2.86e-01	3.04e-01	protein_coding
ENSG00000148341	SH3GLB2	-4.10e-01	1.84e-02	protein_coding
ENSG00000144445	KANSL1L	 4.07e-01	3.12e-01	protein_coding
ENSG00000233016	SNHG7	-9.18e-02	7.08e-01	lncRNA
ENSG00000050426	LETMD1	 1.37e-02	9.65e-01	protein_coding
ENSG00000136383	ALPK3	-2.09e-01	6.74e-01	protein_coding
ENSG00000165716	DIPK1B	-4.10e-01	5.56e-02	protein_coding
ENSG00000122786	CALD1	-5.78e-01	1.98e-02	protein_coding
ENSG00000177469	CAVIN1	 1.31e-01	4.32e-01	protein_coding
ENSG00000128510	CPA4	-6.96e-02	8.43e-01	protein_coding
ENSG00000214026	MRPL23	-3.67e-01	7.04e-02	protein_coding
ENSG00000130958	SLC35D2	 2.57e-02	9.60e-01	protein_coding
ENSG00000183421	RIPK4	-2.45e-01	5.79e-01	protein_coding
ENSG00000259863	SH3RF3-AS1	-2.63e-01	5.62e-01	lncRNA
ENSG00000226416	MRPL23-AS1	 3.19e-02	9.63e-01	lncRNA
ENSG00000176407	KCMF1	-1.55e-01	5.26e-01	protein_coding
ENSG00000172985	SH3RF3	 3.67e-01	5.93e-02	protein_coding
ENSG00000119431	HDHD3	-2.10e-01	3.07e-01	protein_coding
ENSG00000107863	ARHGAP21	 2.23e-02	9.57e-01	protein_coding
ENSG00000181827	RFX7	 1.27e-01	8.12e-01	protein_coding
ENSG00000204003	AL355987.1	-4.02e-02	9.52e-01	protein_coding
ENSG00000187922	LCN10	-6.85e-01	1.88e-05	protein_coding
ENSG00000196814	MVB12B	 4.27e-02	9.35e-01	protein_coding
ENSG00000087258	GNAO1	 3.90e-01	2.94e-01	protein_coding
ENSG00000106327	TFR2	-8.66e-02	8.22e-01	protein_coding
ENSG00000146425	DYNLT1	 1.53e-01	4.86e-01	protein_coding
ENSG00000168404	MLKL	-2.65e-02	9.50e-01	protein_coding
ENSG00000124160	NCOA5	 1.52e-01	5.17e-01	protein_coding
ENSG00000160602	AC010761.1	 1.51e-01	5.95e-01	protein_coding
ENSG00000169439	SDC2	-2.94e-01	1.68e-01	protein_coding
ENSG00000162869	PPP1R21	 1.41e-01	7.54e-01	protein_coding
ENSG00000258232	AC125611.3	 4.02e-01	3.13e-01	lncRNA
ENSG00000167553	TUBA1C	 8.07e-02	7.27e-01	protein_coding
ENSG00000185730	ZNF696	 6.18e-02	9.12e-01	protein_coding
ENSG00000131747	TOP2A	-4.68e-02	8.96e-01	protein_coding
ENSG00000203288	TDRKH-AS1	-1.14e-01	8.40e-01	lncRNA
ENSG00000101695	RNF125	-4.64e-02	9.44e-01	protein_coding
ENSG00000272172	AC138696.2	-4.25e-01	2.57e-01	lncRNA
ENSG00000049618	ARID1B	 9.95e-02	7.93e-01	protein_coding
ENSG00000148218	ALAD	-1.27e-01	7.31e-01	protein_coding
ENSG00000006652	IFRD1	 3.22e-02	9.16e-01	protein_coding
ENSG00000006831	ADIPOR2	 3.95e-01	6.02e-02	protein_coding
ENSG00000171045	TSNARE1	-2.48e-01	4.32e-01	protein_coding
ENSG00000171492	LRRC8D	-3.60e-01	3.14e-01	protein_coding
ENSG00000038210	PI4K2B	-3.06e-01	3.50e-01	protein_coding
ENSG00000139531	SUOX	-4.25e-02	8.94e-01	protein_coding
ENSG00000160606	TLCD1	-1.56e-01	4.31e-01	protein_coding
ENSG00000145014	TMEM44	-1.95e-01	5.58e-01	protein_coding
ENSG00000238266	LINC00707	 6.41e-01	4.61e-02	lncRNA
ENSG00000105135	ILVBL	-5.09e-01	3.46e-03	protein_coding
ENSG00000223784	LINP1	-1.77e-01	6.22e-01	lncRNA
ENSG00000204682	CASC10	 4.84e-03	9.94e-01	lncRNA
ENSG00000155158	TTC39B	-6.01e-01	2.53e-02	protein_coding
ENSG00000143450	OAZ3	-1.01e-01	8.57e-01	protein_coding
ENSG00000167552	TUBA1A	-3.04e-01	7.46e-02	protein_coding
ENSG00000119927	GPAM	-8.39e-01	1.12e-03	protein_coding
ENSG00000183513	COA5	 1.52e-01	4.84e-01	protein_coding
ENSG00000175287	PHYHD1	-2.77e-01	3.00e-01	protein_coding
ENSG00000134758	RNF138	 5.60e-01	1.58e-02	protein_coding
ENSG00000197713	RPE	-9.59e-02	7.64e-01	protein_coding
ENSG00000101311	FERMT1	 3.86e-01	6.91e-02	protein_coding
ENSG00000198242	RPL23A	 1.74e-01	5.01e-01	protein_coding
ENSG00000103423	DNAJA3	-1.23e-01	6.68e-01	protein_coding
ENSG00000064102	INTS13	 3.49e-02	9.41e-01	protein_coding
ENSG00000167323	STIM1	 5.66e-01	1.79e-03	protein_coding
ENSG00000128965	CHAC1	 3.26e-01	2.48e-01	protein_coding
ENSG00000063601	MTMR1	-1.24e-01	7.66e-01	protein_coding
ENSG00000169902	TPST1	-1.58e-01	6.13e-01	protein_coding
ENSG00000041802	LSG1	-2.19e-01	4.76e-01	protein_coding
ENSG00000179406	LINC00174	 1.01e-01	8.34e-01	lncRNA
ENSG00000159873	CCDC117	-8.08e-02	8.34e-01	protein_coding
ENSG00000231770	TMEM44-AS1	-1.78e-01	5.91e-01	lncRNA
ENSG00000143436	MRPL9	-2.54e-01	1.05e-01	protein_coding
ENSG00000078403	MLLT10	-8.70e-02	7.99e-01	protein_coding
ENSG00000105137	SYDE1	 3.66e-01	4.43e-02	protein_coding
ENSG00000150403	TMCO3	-3.85e-01	2.61e-02	protein_coding
ENSG00000116815	CD58	 2.62e-01	5.34e-01	protein_coding
ENSG00000102100	SLC35A2	 2.20e-01	1.74e-01	protein_coding
ENSG00000164024	METAP1	 8.56e-02	8.43e-01	protein_coding
ENSG00000189079	ARID2	 1.49e-01	7.76e-01	protein_coding
ENSG00000110958	PTGES3	 2.25e-01	1.35e-01	protein_coding
ENSG00000160563	MED27	-4.71e-04	9.99e-01	protein_coding
ENSG00000123200	ZC3H13	-1.86e-02	9.76e-01	protein_coding
ENSG00000085719	CPNE3	-2.66e-01	5.25e-01	protein_coding
ENSG00000144655	CSRNP1	 1.64e-01	5.36e-01	protein_coding
ENSG00000186862	PDZD7	 1.81e-02	9.79e-01	protein_coding
ENSG00000095319	NUP188	 6.57e-01	3.19e-05	protein_coding
ENSG00000181826	RELL1	-1.38e-01	7.23e-01	protein_coding
ENSG00000123411	IKZF4	 6.81e-01	2.52e-02	protein_coding
ENSG00000264247	LINC00909	 1.43e-01	7.94e-01	lncRNA
ENSG00000088205	DDX18	-1.09e-01	8.21e-01	protein_coding
ENSG00000215421	ZNF407	-4.75e-02	9.39e-01	protein_coding
ENSG00000175283	DOLK	 2.80e-02	9.27e-01	protein_coding
ENSG00000273590	SMIM11B	-4.15e-02	9.10e-01	protein_coding
ENSG00000107819	SFXN3	 7.54e-02	7.41e-01	protein_coding
ENSG00000119899	SLC17A5	 2.92e-01	4.49e-01	protein_coding
ENSG00000203485	INF2	 2.60e-01	1.62e-01	protein_coding
ENSG00000139734	DIAPH3	-4.18e-02	9.09e-01	protein_coding
ENSG00000106524	ANKMY2	 2.03e-01	6.83e-01	protein_coding
ENSG00000171530	TBCA	-2.99e-02	9.31e-01	protein_coding
ENSG00000197694	SPTAN1	 4.60e-01	3.46e-03	protein_coding
ENSG00000141753	IGFBP4	 1.70e-01	2.94e-01	protein_coding
ENSG00000124767	GLO1	-6.29e-02	8.85e-01	protein_coding
ENSG00000107816	LZTS2	-2.72e-01	1.72e-01	protein_coding
ENSG00000172757	CFL1	-6.92e-02	7.55e-01	protein_coding
ENSG00000197728	RPS26	 2.97e-01	1.15e-01	protein_coding
ENSG00000186522	SEPT10	 2.85e-01	2.50e-01	protein_coding
ENSG00000164715	LMTK2	-2.18e-01	4.15e-01	protein_coding
ENSG00000154265	ABCA5	-1.43e-01	7.95e-01	protein_coding
ENSG00000143061	IGSF3	 4.10e-01	7.16e-02	protein_coding
ENSG00000183258	DDX41	-1.58e-01	4.32e-01	protein_coding
ENSG00000152939	MARVELD2	-2.23e-01	6.30e-01	protein_coding
ENSG00000099377	HSD3B7	-2.93e-01	3.75e-01	protein_coding
ENSG00000110925	CSRNP2	 5.00e-02	9.01e-01	protein_coding
ENSG00000151575	TEX9	 1.57e-01	7.64e-01	protein_coding
ENSG00000179335	CLK3	 9.18e-02	7.46e-01	protein_coding
ENSG00000099381	SETD1A	 6.61e-01	1.30e-04	protein_coding
ENSG00000205356	TECPR1	-1.86e-01	6.57e-01	protein_coding
ENSG00000172007	RAB33B	-2.22e-01	6.41e-01	protein_coding
ENSG00000122783	CYREN	-1.55e-01	6.81e-01	protein_coding
ENSG00000273247	AC097376.2	 2.02e-01	6.89e-01	lncRNA
ENSG00000172732	MUS81	 2.18e-02	9.48e-01	protein_coding
ENSG00000082258	CCNT2	 2.30e-01	5.71e-01	protein_coding
ENSG00000182022	CHST15	-7.94e-02	8.75e-01	protein_coding
ENSG00000129355	CDKN2D	-4.94e-01	1.26e-02	protein_coding
ENSG00000164209	SLC25A46	-1.21e-01	7.78e-01	protein_coding
ENSG00000168036	CTNNB1	-3.76e-01	1.25e-02	protein_coding
ENSG00000109390	NDUFC1	 2.23e-01	3.68e-01	protein_coding
ENSG00000119333	WDR34	-5.87e-01	6.96e-05	protein_coding
ENSG00000070950	RAD18	 1.03e-01	7.80e-01	protein_coding
ENSG00000141391	PRELID3A	 8.69e-02	8.12e-01	protein_coding
ENSG00000198176	TFDP1	 2.32e-01	2.58e-01	protein_coding
ENSG00000125633	CCDC93	 2.83e-01	3.58e-01	protein_coding
ENSG00000121940	CLCC1	-7.07e-02	8.88e-01	protein_coding
ENSG00000146856	AGBL3	 6.64e-01	5.01e-02	protein_coding
ENSG00000158402	CDC25C	-4.45e-01	1.54e-02	protein_coding
ENSG00000220804	LINC01881	 5.58e-01	1.05e-01	transcribed_unprocessed_pseudogene
ENSG00000143079	CTTNBP2NL	-1.48e-01	7.54e-01	protein_coding
ENSG00000156463	SH3RF2	-5.69e-03	9.94e-01	protein_coding
ENSG00000103089	FA2H	 2.22e-01	6.33e-01	protein_coding
ENSG00000198142	SOWAHC	-1.75e-01	5.73e-01	protein_coding
ENSG00000068654	POLR1A	 2.89e-02	9.32e-01	protein_coding
ENSG00000120709	FAM53C	 5.28e-01	5.96e-04	protein_coding
ENSG00000170085	SIMC1	 2.58e-01	5.71e-01	protein_coding
ENSG00000176390	CRLF3	 6.70e-02	8.96e-01	protein_coding
ENSG00000155115	GTF3C6	 9.51e-02	7.88e-01	protein_coding
ENSG00000071553	ATP6AP1	 2.78e-01	1.43e-01	protein_coding
ENSG00000225975	LINC01534	-1.22e-01	8.29e-01	lncRNA
ENSG00000161249	DMKN	 9.52e-02	6.09e-01	protein_coding
ENSG00000158525	CPA5	 1.90e-01	6.59e-01	protein_coding
ENSG00000204709	LINC01556	 2.52e-01	5.91e-01	lncRNA
ENSG00000148362	PAXX	-3.31e-01	4.52e-02	protein_coding
ENSG00000175334	BANF1	 4.55e-02	8.58e-01	protein_coding
ENSG00000129354	AP1M2	-1.00e-01	5.90e-01	protein_coding
ENSG00000155090	KLF10	 5.23e-01	1.82e-02	protein_coding
ENSG00000111790	FGFR1OP2	-2.50e-01	4.60e-01	protein_coding
ENSG00000203666	EFCAB2	-3.20e-01	4.14e-01	protein_coding
ENSG00000264538	SUZ12P1	 1.30e-01	7.11e-01	transcribed_unprocessed_pseudogene
ENSG00000169972	PUSL1	-2.24e-01	2.88e-01	protein_coding
ENSG00000060656	PTPRU	 1.81e-01	6.79e-01	protein_coding
ENSG00000105227	PRX	 1.10e-01	8.49e-01	protein_coding
ENSG00000174370	C11orf45	-2.73e-01	4.99e-01	protein_coding
ENSG00000136279	DBNL	-5.41e-01	9.88e-05	protein_coding
ENSG00000151208	DLG5	 4.38e-01	1.89e-02	protein_coding
ENSG00000185825	BCAP31	-1.71e-01	3.76e-01	protein_coding
ENSG00000065518	NDUFB4	 3.14e-01	1.01e-01	protein_coding
ENSG00000121957	GPSM2	-3.48e-01	1.39e-01	protein_coding
ENSG00000140948	ZCCHC14	 3.36e-02	9.51e-01	protein_coding
ENSG00000164134	NAA15	-9.68e-02	8.56e-01	protein_coding
ENSG00000135451	TROAP	 2.87e-02	9.24e-01	protein_coding
ENSG00000260750	AC092720.1	-2.88e-01	4.94e-01	lncRNA
ENSG00000135457	TFCP2	 2.05e-01	4.53e-01	protein_coding
ENSG00000197019	SERTAD1	-2.94e-01	1.84e-01	protein_coding
ENSG00000169583	CLIC3	-2.14e-01	6.56e-01	protein_coding
ENSG00000149179	C11orf49	 2.22e-01	2.93e-01	protein_coding
ENSG00000162641	AKNAD1	 3.39e-01	4.28e-01	protein_coding
ENSG00000149600	COMMD7	-3.16e-01	4.52e-02	protein_coding
ENSG00000100219	XBP1	-9.52e-02	6.57e-01	protein_coding
ENSG00000167565	SERTAD3	 8.05e-02	8.03e-01	protein_coding
ENSG00000188130	MAPK12	-3.66e-01	6.06e-02	protein_coding
ENSG00000154118	JPH3	 4.36e-01	1.09e-01	protein_coding
ENSG00000179632	MAF1	-5.18e-01	3.07e-04	protein_coding
ENSG00000146802	TMEM168	-3.06e-01	4.78e-01	protein_coding
ENSG00000157823	AP3S2	-1.32e-01	5.67e-01	protein_coding
ENSG00000175376	EIF1AD	-3.88e-01	2.08e-02	protein_coding
ENSG00000110888	CAPRIN2	 1.10e-01	8.41e-01	protein_coding
ENSG00000104731	KLHDC4	-4.39e-01	5.98e-03	protein_coding
ENSG00000159461	AMFR	 1.73e-01	3.62e-01	protein_coding
ENSG00000179526	SHARPIN	-2.85e-01	1.20e-01	protein_coding
ENSG00000156535	CD109	 1.34e-01	8.01e-01	protein_coding
ENSG00000228175	GEMIN8P4	 1.35e-01	7.99e-01	processed_pseudogene
ENSG00000168228	ZCCHC4	 4.44e-02	9.25e-01	protein_coding
ENSG00000226471	Z93930.2	 8.07e-02	8.77e-01	lncRNA
ENSG00000134247	PTGFRN	 7.55e-01	3.39e-07	protein_coding
ENSG00000168038	ULK4	-1.04e-01	8.26e-01	protein_coding
ENSG00000179151	EDC3	-1.62e-01	5.25e-01	protein_coding
ENSG00000104964	AES	-2.53e-01	8.53e-02	protein_coding
ENSG00000143368	SF3B4	 5.73e-01	2.94e-06	protein_coding
ENSG00000169554	ZEB2	-8.58e-02	8.84e-01	protein_coding
ENSG00000242498	ARPIN	-2.93e-01	1.70e-01	protein_coding
ENSG00000185420	SMYD3	-1.32e-02	9.74e-01	protein_coding
ENSG00000085840	ORC1	 1.12e-01	6.39e-01	protein_coding
ENSG00000162664	ZNF326	-6.10e-02	9.07e-01	protein_coding
ENSG00000250021	ARPIN-AP3S2	-1.41e-01	4.91e-01	protein_coding
ENSG00000087086	FTL	 7.54e-02	7.79e-01	protein_coding
ENSG00000237310	AC008267.5	-1.00e-01	8.09e-01	lncRNA
ENSG00000131746	TNS4	 4.36e-01	1.75e-01	protein_coding
ENSG00000155287	SLC25A28	-3.41e-01	8.82e-02	protein_coding
ENSG00000186665	C17orf58	-1.13e-02	9.86e-01	protein_coding
ENSG00000135437	RDH5	-3.02e-02	9.60e-01	protein_coding
ENSG00000132842	AP3B1	-1.24e-01	7.96e-01	protein_coding
ENSG00000134744	TUT4	 2.03e-01	6.15e-01	protein_coding
ENSG00000027001	MIPEP	-7.03e-02	8.38e-01	protein_coding
ENSG00000258311	AC009779.3	-1.04e-01	8.30e-01	protein_coding
ENSG00000106268	NUDT1	-4.27e-01	9.28e-04	protein_coding
ENSG00000105426	PTPRS	-3.73e-01	1.55e-01	protein_coding
ENSG00000115446	UNC50	-3.74e-02	9.31e-01	protein_coding
ENSG00000132600	PRMT7	-2.87e-01	1.18e-01	protein_coding
ENSG00000068784	SRBD1	 1.60e-01	6.69e-01	protein_coding
ENSG00000140740	UQCRC2	-1.13e-01	6.29e-01	protein_coding
ENSG00000135441	BLOC1S1	-1.79e-01	2.10e-01	protein_coding
ENSG00000145860	RNF145	 1.18e-01	6.59e-01	protein_coding
ENSG00000135318	NT5E	 6.82e-02	8.71e-01	protein_coding
ENSG00000182481	KPNA2	 1.21e-01	5.69e-01	protein_coding
