treatment	value	tissue	analyte
ASO3	1.348	Tsc	Aif1
ASO1	1.263	Tsc	Aif1
ASO7	1.253	Tsc	Aif1
ASO8	1.598	Tsc	Aif1
ASO4	1.021	Tsc	Aif1
PBS	0.975	Tsc	Aif1
otherASO1	1.1520000000000001	Tsc	Aif1
otherASO2	1.314	Tsc	Aif1
ASOF	1.194	Tsc	Aif1
ASOA	1.0759999999999998	Tsc	Aif1
ASOC	1.298	Tsc	Aif1
ASOD	1.7480000000000002	Tsc	Aif1
ASOB	1.055	Tsc	Aif1
ASOG	1.455	Tsc	Aif1
ASOE	1.032	Tsc	Aif1
ASOI	1.235	Tsc	Aif1
ASO5	1.476	Tsc	Aif1
ASO6	1.041	Tsc	Aif1
ASO2	0.9690000000000001	Tsc	Aif1
ASO3	1.507	Tsc	Aif1
ASO1	1.151	Tsc	Aif1
ASO7	1.359	Tsc	Aif1
ASO8	1.337	Tsc	Aif1
ASO4	0.914	Tsc	Aif1
PBS	0.9279999999999999	Tsc	Aif1
otherASO1	1.077	Tsc	Aif1
otherASO2	1.0659999999999998	Tsc	Aif1
ASOF	1.27	Tsc	Aif1
ASOA	1.197	Tsc	Aif1
ASOC	1.085	Tsc	Aif1
ASOD	2.013	Tsc	Aif1
ASOB	1.29	Tsc	Aif1
ASOG	1.3619999999999999	Tsc	Aif1
ASOE	1.2009999999999998	Tsc	Aif1
ASOI	1.369	Tsc	Aif1
ASO5	0.858	Tsc	Aif1
ASO6	1.334	Tsc	Aif1
ASO2	1.143	Tsc	Aif1
ASO3	1.3869999999999998	Tsc	Aif1
ASO1	1.21	Tsc	Aif1
ASO7	1.564	Tsc	Aif1
ASO8	1.395	Tsc	Aif1
ASO4	0.894	Tsc	Aif1
PBS	1.1059999999999999	Tsc	Aif1
otherASO1	1.0759999999999998	Tsc	Aif1
otherASO2	1.082	Tsc	Aif1
ASOF	1.386	Tsc	Aif1
ASOA	1.3840000000000001	Tsc	Aif1
ASOC	1.031	Tsc	Aif1
ASOD	1.6159999999999999	Tsc	Aif1
ASOB	1.246	Tsc	Aif1
ASOG	1.263	Tsc	Aif1
ASOE	1.035	Tsc	Aif1
ASOI	1.41	Tsc	Aif1
ASO5	0.882	Tsc	Aif1
ASO6	1.541	Tsc	Aif1
ASO2	1.171	Tsc	Aif1
ASO3	1.475	Tsc	Aif1
ASO1	1.005	Tsc	Aif1
ASO7	2.092	Tsc	Aif1
ASO8	1.037	Tsc	Aif1
ASO4	1.021	Tsc	Aif1
PBS	0.9329999999999999	Tsc	Gfap
otherASO1	0.892	Tsc	Gfap
otherASO2	1.11	Tsc	Gfap
ASOF	0.884	Tsc	Gfap
ASOA	1.033	Tsc	Gfap
ASOC	1.3780000000000001	Tsc	Gfap
ASOD	1.04	Tsc	Gfap
ASOB	0.946	Tsc	Gfap
ASOG	1.1420000000000001	Tsc	Gfap
ASOE	0.794	Tsc	Gfap
ASOI	1.026	Tsc	Gfap
ASO5	1.02	Tsc	Gfap
ASO6	1.002	Tsc	Gfap
ASO2	0.897	Tsc	Gfap
ASO3	0.9740000000000001	Tsc	Gfap
ASO1	0.998	Tsc	Gfap
ASO7	0.9570000000000001	Tsc	Gfap
ASO8	1.157	Tsc	Gfap
ASO4	0.963	Tsc	Gfap
PBS	0.924	Tsc	Gfap
otherASO1	0.922	Tsc	Gfap
otherASO2	1.09	Tsc	Gfap
ASOF	1.135	Tsc	Gfap
ASOA	0.907	Tsc	Gfap
ASOC	1.1079999999999999	Tsc	Gfap
ASOD	1.034	Tsc	Gfap
ASOB	0.982	Tsc	Gfap
ASOG	1.218	Tsc	Gfap
ASOE	0.812	Tsc	Gfap
ASOI	1.006	Tsc	Gfap
ASO5	1.0979999999999999	Tsc	Gfap
ASO6	0.966	Tsc	Gfap
ASO2	0.768	Tsc	Gfap
ASO3	1.05	Tsc	Gfap
ASO1	0.993	Tsc	Gfap
ASO7	1.149	Tsc	Gfap
ASO8	1.083	Tsc	Gfap
ASO4	0.754	Tsc	Gfap
PBS	0.9470000000000001	Tsc	Gfap
otherASO1	1.01	Tsc	Gfap
otherASO2	0.9079999999999999	Tsc	Gfap
ASOF	0.992	Tsc	Gfap
ASOA	0.968	Tsc	Gfap
ASOC	0.995	Tsc	Gfap
ASOD	0.96	Tsc	Gfap
ASOB	1.088	Tsc	Gfap
ASOG	0.951	Tsc	Gfap
ASOE	0.938	Tsc	Gfap
ASOI	1.119	Tsc	Gfap
ASO5	0.054000000000000006	Tsc	Gfap
ASO6	0.971	Tsc	Gfap
ASO2	0.929	Tsc	Gfap
ASO3	0.797	Tsc	Gfap
ASO1	0.9309999999999999	Tsc	Gfap
ASO7	1.069	Tsc	Gfap
ASO8	1.13	Tsc	Gfap
ASO4	0.882	Tsc	Gfap
PBS	1.195	Tsc	Gfap
otherASO1	1.1	Tsc	Gfap
otherASO2	0.9179999999999999	Tsc	Gfap
ASOF	1.0659999999999998	Tsc	Gfap
ASOA	0.863	Tsc	Gfap
ASOC	0.998	Tsc	Gfap
ASOD	0.84	Tsc	Gfap
ASOB	0.998	Tsc	Gfap
ASOG	0.551	Tsc	Gfap
ASOE	1.089	Tsc	Gfap
ASOI	1.099	Tsc	Gfap
ASO5	0.07200000000000001	Tsc	Gfap
ASO6	1.003	Tsc	Gfap
ASO2	1.12	Tsc	Gfap
ASO3	1.08	Tsc	Gfap
ASO1	0.862	Tsc	Gfap
ASO7	1.043	Tsc	Gfap
ASO8	1.22	Tsc	Gfap
ASO4	0.8690000000000001	Tsc	Gfap
PBS	0.992661017	Tsc	Cd68
otherASO1	1.21393866	Tsc	Cd68
otherASO2	1.4419737129999999	Tsc	Cd68
ASOF	1.113002437	Tsc	Cd68
ASOA	1.21697289	Tsc	Cd68
ASOC	1.668211548	Tsc	Cd68
ASOD	1.630721461	Tsc	Cd68
ASOB	1.153151923	Tsc	Cd68
ASOG	1.409658545	Tsc	Cd68
ASOE	1.18763764	Tsc	Cd68
ASOI	1.256293243	Tsc	Cd68
ASO5	1.4031052450000001	Tsc	Cd68
ASO6	1.347699076	Tsc	Cd68
ASO2	1.007660459	Tsc	Cd68
ASO3	1.478586889	Tsc	Cd68
ASO1	1.3403622450000001	Tsc	Cd68
ASO7	1.290127842	Tsc	Cd68
ASO8	2.204293708	Tsc	Cd68
ASO4	1.184073745	Tsc	Cd68
PBS	1.124012745	Tsc	Cd68
otherASO1	1.129820396	Tsc	Cd68
otherASO2	1.364623373	Tsc	Cd68
ASOF	1.1700674150000001	Tsc	Cd68
ASOA	1.25382877	Tsc	Cd68
ASOC	1.444685307	Tsc	Cd68
ASOD	1.394738085	Tsc	Cd68
ASOB	1.3452181680000002	Tsc	Cd68
ASOG	1.733292005	Tsc	Cd68
ASOE	0.8894056836	Tsc	Cd68
ASOI	1.232243397	Tsc	Cd68
ASO5	1.651919828	Tsc	Cd68
ASO6	1.006587022	Tsc	Cd68
ASO2	0.8701234644	Tsc	Cd68
ASO3	1.4881412729999999	Tsc	Cd68
ASO1	1.267918433	Tsc	Cd68
ASO7	1.922322421	Tsc	Cd68
ASO8	1.5676900560000002	Tsc	Cd68
ASO4	0.9111564876	Tsc	Cd68
PBS	1.180030499	Tsc	Cd68
otherASO1	1.247889247	Tsc	Cd68
otherASO2	1.242300934	Tsc	Cd68
ASOF	1.481403259	Tsc	Cd68
ASOA	0.9510567978000001	Tsc	Cd68
ASOC	1.2994332560000001	Tsc	Cd68
ASOD	1.453450099	Tsc	Cd68
ASOB	1.26016321	Tsc	Cd68
ASOG	1.46748654	Tsc	Cd68
ASOE	1.220223461	Tsc	Cd68
ASOI	1.301319414	Tsc	Cd68
ASO5	1.220595584	Tsc	Cd68
ASO6	1.3647205210000002	Tsc	Cd68
ASO2	1.203283417	Tsc	Cd68
ASO3	1.2342904749999999	Tsc	Cd68
ASO1	1.223994062	Tsc	Cd68
ASO7	1.41654929	Tsc	Cd68
ASO8	1.498917251	Tsc	Cd68
ASO4	0.9895449474	Tsc	Cd68
PBS	0.7032957387000001	Tsc	Cd68
otherASO1	1.385683029	Tsc	Cd68
otherASO2	1.31385456	Tsc	Cd68
ASOF	1.671465664	Tsc	Cd68
ASOA	1.7567636500000001	Tsc	Cd68
ASOC	1.1139316510000001	Tsc	Cd68
ASOD	1.409810314	Tsc	Cd68
ASOB	1.528815916	Tsc	Cd68
ASOG	1.173940571	Tsc	Cd68
ASOE	1.220531834	Tsc	Cd68
ASOI	1.341701564	Tsc	Cd68
ASO5	1.344140418	Tsc	Cd68
ASO6	1.4790096030000002	Tsc	Cd68
ASO2	1.379614966	Tsc	Cd68
ASO3	1.327549926	Tsc	Cd68
ASO1	1.0540601809999999	Tsc	Cd68
ASO7	2.307792771	Tsc	Cd68
ASO8	1.7676630819999999	Tsc	Cd68
ASO4	1.06810378	Tsc	Cd68
otherASO1	4.94	Cortex	PK
otherASO2	8.93	Cortex	PK
ASOF	4.73	Cortex	PK
ASOA	4.75	Cortex	PK
ASOC	5.58	Cortex	PK
ASOD	6.64	Cortex	PK
ASOB	1.92	Cortex	PK
ASOG	6.79	Cortex	PK
ASOE	2.7	Cortex	PK
ASOI	1.46	Cortex	PK
ASO5	10.66	Cortex	PK
ASO6	13.36	Cortex	PK
ASO2	6.51	Cortex	PK
ASO3	4.8	Cortex	PK
ASO1	4.31	Cortex	PK
ASO7	0	Cortex	PK
ASO8	0.1	Cortex	PK
ASO4	7.13	Cortex	PK
otherASO1	3.28	Cortex	PK
otherASO2	2.94	Cortex	PK
ASOF	5.56	Cortex	PK
ASOA	12.84	Cortex	PK
ASOC	3.34	Cortex	PK
ASOD	6.9	Cortex	PK
ASOB	2.11	Cortex	PK
ASOG	0.95	Cortex	PK
ASOE	1.85	Cortex	PK
ASOI	1.35	Cortex	PK
ASO5	7.79	Cortex	PK
ASO6	10.66	Cortex	PK
ASO2	5.56	Cortex	PK
ASO3	3.4	Cortex	PK
ASO1	3.92	Cortex	PK
ASO7	6.09	Cortex	PK
ASO8	0.1	Cortex	PK
ASO4	4.92	Cortex	PK
otherASO1	3.75	Cortex	PK
otherASO2	4.45	Cortex	PK
ASOF	3.28	Cortex	PK
ASOA	3.33	Cortex	PK
ASOC	3.31	Cortex	PK
ASOD	8.51	Cortex	PK
ASOB	2.81	Cortex	PK
ASOG	1.4	Cortex	PK
ASOE	1.15	Cortex	PK
ASOI	3.88	Cortex	PK
ASO5	7.47	Cortex	PK
ASO6	5.18	Cortex	PK
ASO2	6.27	Cortex	PK
ASO3	7.2	Cortex	PK
ASO1	3.64	Cortex	PK
ASO7	0	Cortex	PK
ASO8	0.1	Cortex	PK
ASO4	8.1	Cortex	PK
otherASO1	3.46	Cortex	PK
otherASO2	4.61	Cortex	PK
ASOF	3.78	Cortex	PK
ASOA	4.01	Cortex	PK
ASOC	2.98	Cortex	PK
ASOD	14.49	Cortex	PK
ASOB	2	Cortex	PK
ASOG	2.13	Cortex	PK
ASOE	1.33	Cortex	PK
ASOI	3.78	Cortex	PK
ASO5	7.42	Cortex	PK
ASO6	23.8	Cortex	PK
ASO2	3.47	Cortex	PK
ASO3	2.87	Cortex	PK
ASO1	2.98	Cortex	PK
ASO7	0	Cortex	PK
ASO8	0.1	Cortex	PK
ASO4	4.81	Cortex	PK
