GeneID	Enrichment	Cluster	Expressed_4wpi_main	log2FC_4wpi_main	Pval_4wpi_main	FDR_4wpi_main	Expressed_8wpi_main	log2FC_8wpi_main	Pval_8wpi_main	FDR_8wpi_main	Expressed_12wpi_main	log2FC_12wpi_main	Pval_12wpi_main	FDR_12wpi_main	Expressed_14wpi_main	log2FC_14wpi_main	Pval_14wpi_main	FDR_14wpi_main	Expressed_16wpi_main	log2FC_16wpi_main	Pval_16wpi_main	FDR_16wpi_main	Expressed_18wpi_main	log2FC_18wpi_main	Pval_18wpi_main	FDR_18wpi_main	Expressed_20wpi_main	log2FC_20wpi_main	Pval_20wpi_main	FDR_20wpi_main	Expressed_term_main	log2FC_term_main	Pval_term_main	FDR_term_main	Expressed_8wpi_val	log2FC_8wpi_val	Pval_8wpi_val	FDR_8wpi_val	Expressed_term_val	log2FC_term_val	Pval_term_val	FDR_term_val	Expressed_8wpi_ko	log2FC_8wpi_ko	Pval_8wpi_ko	FDR_8wpi_ko	Expressed_8wpi_ip	log2FC_8wpi_ip	Pval_8wpi_ip	FDR_8wpi_ip	Expressed_term_ip	log2FC_term_ip	Pval_term_ip	FDR_term_ip	Expressed_8wpi_old	log2FC_8wpi_old	Pval_8wpi_old	FDR_8wpi_old	Expressed_term_young	log2FC_term_young	Pval_term_young	FDR_term_young	Expressed_term_old	log2FC_term_old	Pval_term_old	FDR_term_old	Expressed_8wpi_saline	log2FC_8wpi_saline	Pval_8wpi_saline	FDR_8wpi_saline	Expressed_8wpi_plasma	log2FC_8wpi_plasma	Pval_8wpi_plasma	FDR_8wpi_plasma	Expressed_term_saline	log2FC_term_saline	Pval_term_saline	FDR_term_saline	Expressed_term_plasma	log2FC_term_plasma	Pval_term_plasma	FDR_term_plasma
Rab12	_NE	NA	TRUE	-0.08676	0.5268	0.9959	TRUE	0.1323	0.2054	0.4394	TRUE	-0.02629	0.7708	0.9287	TRUE	0.08102	0.507	0.8652	TRUE	0.2624	0.04748	0.3609	TRUE	-0.09273	0.5527	0.9788	TRUE	-0.1415	0.3036	0.6927	TRUE	0.1602	0.2979	0.5459	TRUE	-0.03586	0.762	0.9053	TRUE	0.1532	0.2283	0.4655	TRUE	0.03184	0.7335	1	TRUE	-0.09585	0.3085	0.9999	TRUE	0.001823	0.9835	0.992	TRUE	0.1205	0.1367	0.3127	TRUE	-0.008886	0.9369	0.9648	TRUE	0.0224	0.8393	0.9001	TRUE	0.1429	0.08517	0.266	TRUE	-0.03416	0.6292	1	TRUE	0.0286	0.7625	0.8835	TRUE	0.1118	0.4571	0.6355
Rab13	_NE	1	TRUE	0.3489	0.2846	0.9959	TRUE	0.3118	0.1921	0.4229	TRUE	-0.2459	0.3291	0.7089	TRUE	-0.04577	0.8749	0.9762	TRUE	0.2065	0.4605	0.786	TRUE	0.8972	0.00551	0.1538	TRUE	0.5011	0.1119	0.4709	TRUE	1.163	0.0001415	0.001472	TRUE	0.3199	0.2004	0.5133	TRUE	1.024	0.0003542	0.003372	TRUE	-0.1228	0.6483	1	TRUE	0.2875	0.2647	0.9999	TRUE	0.3541	0.09811	0.2193	TRUE	-0.2586	0.2879	0.4988	TRUE	0.7725	0.004731	0.0195	TRUE	0.9935	3.703e-06	2.506e-05	TRUE	-0.1361	0.4833	0.6965	TRUE	-0.06616	0.7302	1	TRUE	0.7027	0.0007176	0.006146	TRUE	0.9034	0.0002343	0.001748
Rab14	_NE	NA	TRUE	-0.1586	0.3681	0.9959	TRUE	0.1854	0.08177	0.2617	TRUE	-0.07958	0.3721	0.7395	TRUE	0.104	0.3772	0.8112	TRUE	0.2601	0.06777	0.4125	TRUE	0.1028	0.5307	0.9787	TRUE	-0.1549	0.2971	0.6895	TRUE	-0.08103	0.5826	0.784	TRUE	0.07061	0.5766	0.8098	TRUE	-0.1172	0.3718	0.6118	TRUE	0.03191	0.7506	1	TRUE	0.07075	0.4612	0.9999	TRUE	-0.2033	0.03688	0.105	TRUE	0.2092	0.008925	0.04825	TRUE	-0.152	0.1923	0.3475	TRUE	-0.08502	0.4514	0.5972	TRUE	0.1739	0.05153	0.1967	TRUE	-0.04123	0.526	1	TRUE	-0.1375	0.2474	0.4772	TRUE	-0.2809	0.02894	0.08921
Rab15	_NE	NA	TRUE	-0.07855	0.643	0.9959	TRUE	-0.13	0.3654	0.6033	TRUE	0.4184	0.0009503	0.03436	TRUE	0.295	0.02565	0.4412	TRUE	0.09296	0.4692	0.7907	TRUE	-0.04401	0.7907	0.9896	TRUE	0.1075	0.4837	0.8074	TRUE	-0.3321	0.0875	0.2479	TRUE	-0.1767	0.2463	0.5644	TRUE	-0.2809	0.1201	0.3098	TRUE	0.05388	0.6056	1	TRUE	0.02745	0.7964	0.9999	TRUE	-0.2845	0.006596	0.0263	TRUE	-0.07976	0.3767	0.5861	TRUE	-0.3135	0.03092	0.08789	TRUE	-0.3837	0.004851	0.01552	TRUE	-0.01069	0.913	0.961	TRUE	-0.06306	0.3666	1	TRUE	-0.09112	0.4463	0.6651	TRUE	-0.1272	0.3403	0.5253
Rab17	_NE	NA	FALSE	-1.976	0.2424	NA	FALSE	-0.5096	0.7353	NA	FALSE	0.1559	0.9197	NA	FALSE	-2.713	0.1123	NA	FALSE	-0.9143	0.5707	NA	FALSE	-0.8104	0.6042	NA	FALSE	-1.914	0.1978	NA	FALSE	-1.36	0.4002	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0.04356	0.976	NA	FALSE	-0.02576	0.981	NA	FALSE	1.136	0.4425	NA	FALSE	3.22	0.06413	NA	FALSE	-3.064	0.0774	NA	FALSE	1.962	0.06774	NA	FALSE	-2.165	0.1018	NA	FALSE	2.033	0.1179	NA	FALSE	-0.6691	0.5387	NA	FALSE	-0.4165	0.7414	NA
Rab18	_NE	NA	TRUE	-0.1462	0.3172	0.9959	TRUE	0.2299	0.03784	0.1668	TRUE	-0.09229	0.2722	0.6626	TRUE	0.07385	0.5082	0.8652	TRUE	0.2567	0.05772	0.3911	TRUE	0.09782	0.5331	0.9787	TRUE	-0.091	0.5512	0.8405	TRUE	0.2482	0.08664	0.2464	TRUE	0.1245	0.3495	0.6598	TRUE	0.1843	0.1617	0.3774	TRUE	0.1646	0.09606	1	TRUE	0.06179	0.4868	0.9999	TRUE	0.08792	0.3055	0.4945	TRUE	0.2449	0.00239	0.01845	TRUE	0.02072	0.8497	0.9127	TRUE	0.1519	0.1751	0.2978	TRUE	0.215	0.007379	0.06238	TRUE	-0.0197	0.7908	1	TRUE	-4.164e-05	0.9997	0.9998	TRUE	0.07244	0.5998	0.7506
Rab19	_NE	NA	FALSE	2.508	0.02367	NA	FALSE	0.9455	0.2415	NA	FALSE	-1.684	0.1782	NA	FALSE	-0.9189	0.5264	NA	FALSE	0.5387	0.6716	NA	FALSE	0.8516	0.5226	NA	FALSE	-0.6136	0.6758	NA	FALSE	1.061	0.2677	NA	FALSE	0	1	NA	FALSE	0.7167	0.4908	NA	FALSE	0.09082	0.9578	NA	FALSE	0.955	0.2483	NA	FALSE	0.1255	0.8848	NA	FALSE	1.76	0.08432	NA	FALSE	1.608	0.1528	NA	FALSE	1.331	0.07272	NA	FALSE	-1.737	0.1652	NA	FALSE	-0.6073	0.4629	NA	FALSE	0.1587	0.8317	NA	FALSE	0.2844	0.7652	NA
Rab1b	_NE	NA	TRUE	0.1169	0.3929	0.9959	TRUE	-0.3628	0.001327	0.01993	TRUE	0.3378	0.0001619	0.01179	TRUE	0.1992	0.1207	0.6369	TRUE	-0.2653	0.099	0.4678	TRUE	-0.231	0.2423	0.8808	TRUE	0.1218	0.4374	0.7832	TRUE	-0.1444	0.367	0.6114	TRUE	-0.2797	0.04056	0.2295	TRUE	-0.1941	0.1904	0.4176	TRUE	0.002906	0.9754	1	TRUE	-0.06479	0.5466	0.9999	TRUE	-0.02079	0.8378	0.9122	TRUE	-0.4421	3.304e-07	1.055e-05	TRUE	-0.05923	0.6115	0.7542	TRUE	-0.1923	0.1384	0.2479	TRUE	-0.1409	0.07761	0.2529	TRUE	-0.1236	0.07326	1	TRUE	-0.07429	0.4504	0.6681	TRUE	0.02197	0.8738	0.9344
Rab20	MG	1	TRUE	0.7749	0.2549	0.9959	FALSE	-0.07743	0.8825	NA	TRUE	-0.3945	0.5522	0.8441	TRUE	-1.588	0.009706	0.2918	TRUE	-0.3801	0.5037	0.8092	FALSE	-0.1953	0.7821	NA	TRUE	0.1371	0.8424	0.9595	TRUE	2.101	3.997e-05	0.0004894	TRUE	2.337	5.057e-06	0.0002493	TRUE	0.6767	0.1238	0.316	FALSE	-2.145	0.0005651	NA	FALSE	0.8519	0.2678	NA	TRUE	1.865	4.664e-05	0.0003448	FALSE	0.2595	0.6905	NA	TRUE	2.593	1.223e-07	1.494e-06	TRUE	2.212	1.43e-09	1.521e-08	FALSE	0.4349	0.4845	NA	FALSE	0.2135	0.6993	NA	TRUE	0.9531	0.01266	0.06176	TRUE	3.447	1.068e-10	2.714e-09
Rab21	_NE	NA	TRUE	-0.05142	0.7235	0.9959	TRUE	0.1737	0.09739	0.2869	TRUE	0.02522	0.787	0.9355	TRUE	0.05478	0.6626	0.9155	TRUE	0.3018	0.02066	0.2482	TRUE	0.1226	0.4738	0.9685	TRUE	0.05601	0.693	0.9067	TRUE	0.0598	0.704	0.8568	TRUE	0.2332	0.03844	0.2227	TRUE	0.04551	0.7242	0.8627	TRUE	-0.007819	0.941	1	TRUE	0.06067	0.5314	0.9999	TRUE	0.1631	0.07831	0.1858	TRUE	0.1292	0.1756	0.3666	TRUE	0.0443	0.6977	0.8143	TRUE	0.1857	0.09526	0.1855	TRUE	0.1907	0.01418	0.09257	TRUE	-0.0746	0.3101	1	TRUE	0.06871	0.5171	0.7202	TRUE	-0.009077	0.9465	0.9715
