FeatureID,FeatureName,oligodendrocyte Average,oligodendrocyte Log2 Fold Change,oligodendrocyte P-Value
ENSMUSG00000047797,Gjb1,1.3219091471091255,7.622163293930943,9.231797984552896e-230
ENSMUSG00000029700,Slc13a1,1.1182529334722533,7.660031505061736,8.839902965668105e-226
ENSMUSG00000026519,Tmem63a,1.3301296453158222,7.551007986470465,3.4948083737605495e-225
ENSMUSG00000044734,Serpinb1a,1.499577979318376,7.45816595966392,2.4159313323642667e-214
ENSMUSG00000031385,Plxnb3,1.058588027133326,7.443516437129047,1.1562520851164762e-211
ENSMUSG00000041828,Abca8a,1.2049659306848277,7.414222612076323,6.77839437349687e-209
ENSMUSG00000041309,Nkx6-2,1.3264171622547334,7.293446541590283,1.6778788210588204e-199
ENSMUSG00000056966,Gjc3,7.037541997016867,7.1753021638568235,2.886702852488964e-196
ENSMUSG00000036777,Anln,3.0044595058668793,7.1397217879543655,7.99698587079626e-190
ENSMUSG00000038173,Enpp6,1.2495157274178936,7.179181374967505,1.635127010168438e-183
ENSMUSG00000037166,Ppp1r14a,3.5846675728427604,7.0225629136864915,1.4309789451268454e-181
ENSMUSG00000027858,Tspan2,6.12559705079655,7.007362553603091,5.632391216814385e-181
ENSMUSG00000052609,Plekhg3,1.4698781148296656,7.051944015678946,9.074448954222296e-181
ENSMUSG00000036098,Myrf,1.177387485088168,7.073592679217637,1.5609550821658426e-180
ENSMUSG00000013523,Bcas1,5.8057931528198985,7.004299773545172,6.5548635432576245e-180
ENSMUSG00000032517,Mobp,10.849996923393578,6.91081337188597,2.405529183774043e-173
ENSMUSG00000038526,Car14,1.1317769789090768,6.932561560914884,8.970292052274087e-169
ENSMUSG00000041377,Ninj2,2.1330866959570325,6.864958862645548,3.0658866243998944e-166
ENSMUSG00000032554,Trf,17.819388338503312,6.805183563865494,4.261734584325692e-165
ENSMUSG00000024810,Il33,5.133833718762823,6.766328092299165,9.079906570151128e-161
ENSMUSG00000086999,Bcas1os2,1.0097953926161585,6.844368120089678,6.021225060170274e-159
ENSMUSG00000020183,Cpm,1.4510505221627152,6.731847235279432,4.885764540382374e-154
ENSMUSG00000039904,Gpr37,1.8925708290707781,6.642989985288248,3.1731840319855174e-149
ENSMUSG00000031775,Pllp,3.3003974413079593,6.586052644012141,1.8894467271059732e-146
ENSMUSG00000022548,Apod,13.804072730574251,6.577823911076436,2.351554139942909e-146
ENSMUSG00000033006,Sox10,3.22853437633974,6.5770232943618065,1.1286657916359759e-145
ENSMUSG00000060716,Plekhh1,3.6289521922143195,6.490350794095927,1.6599865887234354e-139
ENSMUSG00000073538,E330020D12Rik,1.4849932244355273,6.542428227982672,1.8904394606359887e-139
ENSMUSG00000092274,Neat1,13.655838585492205,6.455032885992023,4.3568553734208166e-138
ENSMUSG00000041607,Mbp,38.38044541762072,6.38763899797871,9.884945189342897e-134
ENSMUSG00000032854,Ugt8a,4.70822405354514,6.38813375014829,1.8630343968249718e-132
ENSMUSG00000034714,Ttyh2,2.4383058390508343,6.268309054159246,1.0991894108842704e-123
ENSMUSG00000078771,Evi2a,1.652054962184524,6.229299307992031,1.981531994964765e-119
ENSMUSG00000051041,Olfml1,1.3945677441618638,6.221070897040882,3.6204307996485786e-119
ENSMUSG00000027562,Car2,10.854239761177679,6.160750147501718,6.812949782842242e-118
ENSMUSG00000034317,Trim59,2.2182086290005687,6.171770789144456,4.383177508723719e-116
ENSMUSG00000006782,Cnp,8.27485956580547,6.050010200724035,2.5545480357783987e-110
ENSMUSG00000038608,Dock10,13.222273599429332,5.973869716376153,4.305296517970103e-106
ENSMUSG00000025584,Pde8a,4.074715336906484,5.972583315028013,1.80701176925525e-105
ENSMUSG00000026170,Cyp27a1,1.0331310004287169,5.999060173486959,2.6214408612907432e-104
ENSMUSG00000022500,Litaf,3.367487313769064,5.916632976301335,8.63946970353097e-102
ENSMUSG00000003934,Efnb3,2.2890109845227626,5.809511559607878,4.5191101802239485e-95
ENSMUSG00000053475,Tnfaip6,2.7310616461538384,5.7982861840687185,5.396545552398316e-94
ENSMUSG00000060675,Plaat3,1.4441559107635502,5.7826893579911465,3.919937557479039e-93
ENSMUSG00000026778,Prkcq,1.3595643324430264,5.768397958189619,1.1401030271670175e-91
ENSMUSG00000027199,Gatm,6.736565691707167,5.71573894414481,4.2661458088258964e-91
ENSMUSG00000071042,Rasgrp3,1.1816303228722695,5.754160798425109,8.901179814851242e-91
ENSMUSG00000015112,Slc25a13,3.1633007454091793,5.690839277022986,2.8640355187249536e-88
ENSMUSG00000046160,Olig1,2.4250469709755174,5.654910677170037,8.091030665403517e-87
ENSMUSG00000073982,Rhog,1.195949900393612,5.653974522714506,1.9599986989797484e-85
ENSMUSG00000075324,Fign,1.7586562615100745,5.626307337201711,1.2592608215251645e-84
ENSMUSG00000086607,4930511M06Rik,2.1818793304741995,5.538028436661972,2.807295213870146e-80
ENSMUSG00000031714,Gab1,2.769777540933765,5.510111620291836,6.53396577241107e-80
ENSMUSG00000053007,Creb5,2.8469441531321107,5.482969839095984,2.8468493289427855e-78
ENSMUSG00000040759,Cmtm5,2.8896377083346323,5.456223169022602,2.3867557818276433e-77
ENSMUSG00000005125,Ndrg1,1.754413423725973,5.481496081404906,4.1268413150121136e-77
ENSMUSG00000032060,Cryab,6.081842786148003,5.437077202930314,1.566621011605608e-76
ENSMUSG00000032766,Gng11,1.3272126943392524,5.419160597471081,3.894676615324759e-74
ENSMUSG00000044447,Dock5,1.2139819609760436,5.419055961408005,9.120042448799988e-74
ENSMUSG00000048537,Phldb1,2.6019202711002487,5.281847787654176,4.3442053870949407e-69
ENSMUSG00000030342,Cd9,3.5931532484109634,5.116106672920097,3.4350464031458747e-62
ENSMUSG00000036528,Ppfibp2,1.7440715066272254,5.12338921326944,3.5488794255464433e-62
ENSMUSG00000034903,Cobll1,1.791538254336861,5.111244132211573,1.7489416515493474e-61
ENSMUSG00000071176,Arhgef10,2.5995336748466915,5.075410397901152,2.2934026740649368e-60
ENSMUSG00000097098,9330111N05Rik,1.3001646034656054,5.2144663762363965,6.018296846867929e-60
ENSMUSG00000037242,Clic4,2.7013617816651276,5.051226043120254,1.1058082148843743e-58
ENSMUSG00000015806,Qdpr,4.0683510802303315,5.021131489010275,1.8458073091314477e-58
ENSMUSG00000040260,Daam2,4.432969952301555,4.976966001925193,6.72664686079152e-57
ENSMUSG00000020422,Tns3,1.8379442926004712,4.926577286014698,2.0952556966368574e-54
ENSMUSG00000026421,Csrp1,4.391602283906566,4.89972596630901,4.2200335455852266e-54
ENSMUSG00000078532,Nkain1,1.6494031885694607,4.846636010088134,1.978466078574428e-51
ENSMUSG00000026879,Gsn,1.817525635764483,4.8212324383501075,1.3983028608057e-50
ENSMUSG00000021709,Erbin,4.998858441756093,4.752941056777868,6.729549136253559e-49
ENSMUSG00000049721,Gal3st1,1.276828995653047,4.761389309051094,2.3548912578523432e-48
ENSMUSG00000025429,Pstpip2,3.322407162312986,4.709007036675269,3.935743883991688e-47
ENSMUSG00000015090,Ptgds,47.2827146207502,4.691294146545706,2.3931683961467248e-45
ENSMUSG00000115529,9630013A20Rik,2.677760996491063,4.797722066914667,5.782487794014391e-45
ENSMUSG00000037846,Rtkn2,1.0137730530387536,4.667511823279213,1.3098668873197593e-44
ENSMUSG00000020811,Wscd1,1.5417411797978848,4.61620438084683,5.227357043163585e-44
ENSMUSG00000024640,Psat1,1.153521522552597,4.617501165910201,7.761224566788658e-44
ENSMUSG00000016128,Stard13,3.1102652731079106,4.560299434979212,1.549554342855124e-42
ENSMUSG00000038349,Plcl1,22.204096011010716,4.5269198984610775,9.024702669242445e-42
ENSMUSG00000021696,Elovl7,2.1285786808114247,4.522313792183498,3.3287313409720793e-41
ENSMUSG00000053398,Phgdh,1.4465425070171074,4.506935083145999,1.1985387687741453e-40
ENSMUSG00000018217,Pmp22,1.194358836224574,4.486649804269599,5.0774317999577096e-40
