FeatureID,FeatureName,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value
ENSMUSG00000020844,Nxn,1.9138697523898505,5.192811902099836,1.3547154950161914e-135
ENSMUSG00000052942,Glis3,3.053150630053916,5.175065998284273,4.58826255829568e-135
ENSMUSG00000025911,Adhfe1,1.2402285695386912,5.174900586979575,3.243132574655704e-134
ENSMUSG00000024593,Megf10,1.321577636356682,5.162550206328083,2.1283174590208268e-133
ENSMUSG00000040260,Daam2,3.241750464141631,5.143437265604641,6.348250116569199e-133
ENSMUSG00000004902,Slc25a18,1.054878758701574,5.152385898841063,8.85805574161258e-132
ENSMUSG00000028273,Pdlim5,1.8473920040821703,5.1260859231829485,5.810353175909781e-131
ENSMUSG00000068748,Ptprz1,13.621930784338485,5.1018301957961345,1.8872316168747666e-130
ENSMUSG00000020021,Fgd6,1.4370027045294247,5.082749940590624,9.166993671593847e-128
ENSMUSG00000097881,Celrr,1.4082449230392873,5.076994604186461,3.2328775058430514e-127
ENSMUSG00000001260,Gabrg1,1.0618712329680116,5.051988125348683,9.400944895198807e-125
ENSMUSG00000017724,Etv4,1.0864926212301154,5.04209209877931,2.6860400291844047e-124
ENSMUSG00000026614,Slc30a10,1.2177738634436526,5.01319509114325,4.3467197198791785e-122
ENSMUSG00000031762,Mt2,2.2605388991202715,4.987973451737714,3.0019101624041347e-121
ENSMUSG00000000567,Sox9,1.490972787599956,4.97928735199421,4.0281301089190385e-120
ENSMUSG00000020614,Fam20a,2.406592974291071,4.9626830716943235,1.3118097697517236e-119
ENSMUSG00000019899,Lama2,4.431062002754292,4.907584277301502,1.5957117262599237e-116
ENSMUSG00000025537,Phkg1,3.091756966848895,4.891180831320078,4.117746395518987e-115
ENSMUSG00000044033,Ccdc141,1.783770336812894,4.908236958859774,5.04199744704711e-115
ENSMUSG00000060477,Irak2,2.4455932532982434,4.887657014961082,1.138091755519035e-114
ENSMUSG00000032038,St3gal4,2.4875480988968683,4.8781354488974396,3.425495500225406e-114
ENSMUSG00000039217,Il18,2.3763579095052076,4.8723670591422295,6.2668479931249386e-114
ENSMUSG00000028028,Alpk1,1.1376066232622428,4.876258903559329,5.72581777458622e-113
ENSMUSG00000024420,Zfp521,1.3580172909845958,4.824153500936664,5.743609855006792e-110
ENSMUSG00000024620,Pdgfrb,1.0667955106204323,4.846351133443479,8.074109182322105e-109
ENSMUSG00000031610,Scrg1,1.0297649426742281,4.8140790831425875,9.029402393146122e-109
ENSMUSG00000052062,Pard3b,2.2987512937030568,4.7956993347467245,1.5199742708847012e-108
ENSMUSG00000026473,Glul,9.435605380909504,4.779130530163785,2.4624066054580066e-108
ENSMUSG00000021127,Zfp36l1,1.051530249897928,4.792902873956844,1.7268047718807445e-107
ENSMUSG00000086020,Gm12239,1.2089101636692952,4.806201575674402,6.06934595378982e-107
ENSMUSG00000048001,Hes5,1.6741559162700081,4.783973740662087,1.3597181246930066e-106
ENSMUSG00000020263,Appl2,4.124279505008479,4.719794016093111,3.380298653060093e-104
ENSMUSG00000064036,Mro,1.2415088817283206,4.717593977422617,3.668174925898673e-103
ENSMUSG00000022037,Clu,15.507436697450391,4.68224421486654,6.342112727040989e-102
ENSMUSG00000053398,Phgdh,1.1479476063323264,4.671325251159139,5.351928419706895e-100
ENSMUSG00000025351,Cd63,2.892225236372806,4.651468500747749,9.933913308652564e-100
ENSMUSG00000020037,Rfx4,1.7204441262027632,4.632576364636228,3.7434739621492254e-98
ENSMUSG00000030307,Slc6a11,1.8659072880552723,4.569529153511739,1.7805401897714024e-94
ENSMUSG00000021097,Clmn,3.758504160986665,4.554033737160376,6.610006686474023e-94
ENSMUSG00000056870,Gulp1,1.009082976534061,4.577031413511728,1.0412788861523665e-93
ENSMUSG00000031925,Maml2,5.337720004118001,4.5346866110689765,6.603712322076178e-93
ENSMUSG00000025932,Eya1,1.6647013031773603,4.545036026911334,9.360623162850709e-93
ENSMUSG00000048747,E130114P18Rik,1.4562073873738655,4.543673849294698,1.5096208154107212e-92
ENSMUSG00000004558,Ndrg2,4.085574682660452,4.519980409752229,7.128756163305989e-92
ENSMUSG00000015766,Eps8,1.818141794826791,4.507333892489193,1.331492147322479e-90
ENSMUSG00000017390,Aldoc,6.346015096227675,4.493710490658292,1.7067456439723947e-90
ENSMUSG00000058135,Gstm1,1.8132175171743703,4.502265477576039,2.715204569724388e-90
ENSMUSG00000034055,Phka1,3.213977538181978,4.463245177567998,1.258350489615541e-88
ENSMUSG00000025931,Paqr8,4.168105576115024,4.453079488637811,3.515502626454159e-88
ENSMUSG00000049690,Nckap5,4.30253835602611,4.431951485980904,8.439709406388187e-87
ENSMUSG00000031565,Fgfr1,1.8896423063399403,4.432864019927965,1.4627824183453637e-86
ENSMUSG00000113029,Gm40578,1.455616474055575,4.3973172002021155,2.1156199512235966e-84
ENSMUSG00000025283,Sat1,5.79075354814071,4.380991412398846,3.3860956147600703e-84
ENSMUSG00000030088,Aldh1l1,1.3467899379370765,4.394081860342594,3.687243530399982e-84
ENSMUSG00000021221,Dpf3,1.2957744214579974,4.37869408192905,2.2034684881863672e-83
ENSMUSG00000074637,Sox2,1.1916751918858226,4.3797593587139305,2.3583205346203387e-83
ENSMUSG00000097520,4930488L21Rik,2.61420052011713,4.369285195366363,3.238866482167034e-83
ENSMUSG00000041329,Atp1b2,2.9198011912263624,4.358461036551837,8.752814299725351e-83
