gene	log2FoldChange	pvalue	padj	baseMean	is_astro	neg_log10p
Fer	-0.4837845054693291	0.00539056316121173	0.08095871475775569	11.61931735339506	FALSE	2.2683658609671564
Fermt2	-0.0397618548468986	0.6638618485564759	0.9085528958042596	46.02307186997744	TRUE	0.17792228908389818
Fermt3	0.2164001735337666	0.22924043801817115	0.6295941363151086	12.311910860631857	FALSE	0.6397087703909895
Fes	0.01375834337025307	0.9573624128906087	0.992799512022823	5.442337107235946	FALSE	0.01892362740205626
Fetub	0.1368913206823059	0.644246141180925	0.9013973228655452	5.634128547917819	FALSE	0.1909481740480702
Fez1	-0.10502616748529564	0.02601339343333698	0.21776616057042353	320.5343231277575	FALSE	1.584802990624432
Fez2	0.05319553768762952	0.3940624030461418	0.7687209049758836	149.56176200385667	FALSE	0.4044349985992419
Fezf1	0.24769278428784297	0.7303042371639188	0.9290970056504448	1.0661084897160749	FALSE	0.1364961796110892
Fezf2	0.3238081501015376	0.01514125006620771	0.15950936355810888	27.94434081816711	FALSE	1.819838267871313
Fga	-0.07896565082339531	0.741755432333715	0.9333040301759032	26.24176675814944	FALSE	0.1297392643924253
Fgb	0.12146943213077434	0.6344804340634762	0.8977178104122415	77.54523611203003	FALSE	0.1975817660188968
Fgd2	0.1712657135674145	0.314397706537947	0.7080525318179611	14.16410987781099	FALSE	0.5025206307037079
Fgd3	-0.2987412249954158	0.12126065930433316	0.48028398485500423	10.682997105611282	FALSE	0.9162800747992595
Fgd4	0.04683996550524592	0.7165678989653878	0.925081142452349	24.831867171315	FALSE	0.14474265139522813
Fgd5	-0.29350638387695543	0.30979727880672225	0.7043912101891461	4.375107332405944	FALSE	0.5089224013102377
Fgd6	-0.11129850322115302	0.5656264450649768	0.8684733457796034	9.013075595814044	TRUE	0.24747029391181535
Fgf1	-0.1889487495860446	0.0138845098475654	0.15178965117686594	87.92329461724283	TRUE	1.857469447152829
Fgf10	-0.27171732078397387	0.3072023253268212	0.7022004082288461	4.804757347835317	FALSE	0.5125755012942204
Fgf11	-0.18365561000220249	0.13533549468990097	0.5064707915891572	25.451402741452615	FALSE	0.8685882852478726
Fgf12	-0.1623150167726509	0.02058197214422889	0.19000536748583757	73.02359065378204	FALSE	1.6865130139117426
Fgf13	-0.27313298046630713	0.00125671009219963	0.02811198435498684	72.67456679328002	FALSE	2.900764897237878
Fgf14	0.14782057834319928	0.3342423976666474	0.7254754345667784	20.43108935644957	FALSE	0.47593846196866263
Fgf17	-0.3230547835642752	0.550349373490858	0.8598961519487595	1.108549804656218	FALSE	0.2593615235821532
Fgf2	0.08198749868691413	0.7252948652451352	0.9280259608080408	11.476538680713272	FALSE	0.13948539713303842
Fgf22	0.17713499764388135	0.4862202080775661	0.8275252580521963	6.407148845466054	FALSE	0.31316699515496865
Fgf3	0.924335950375768	0.10946162236304532	0.45723584720715466	1.2799475571794614	FALSE	0.9607381193389845
Fgf5	0.6662476865890834	0.19586818660826735	0.5875006142101152	1.3420650213363252	FALSE	0.7080360974532708
Fgf9	-0.12232243242085455	0.20318833329116057	0.5970292267468041	47.78312154715021	FALSE	0.6921012320806925
Fgfbp1	-0.5637845483930976	0.13567294777397337	0.5068773194543736	2.568733249684089	FALSE	0.8675067389556338
Fgfbp3	0.14692411905584887	0.4923372770350241	0.8314395657201926	11.505721781141744	FALSE	0.3077372806243217
Fgfr1	0.13948196629956605	0.12125589688833412	0.48028398485500423	86.15588515571957	TRUE	0.916297131704748
Fgfr1op2	-0.03057467450811127	0.6929650509592251	0.9191829307724808	116.28772284161258	FALSE	0.15928866806972056
Fgfr2	-0.2495851028036623	0.00794006145990509	0.10359023463044575	69.37384438210874	FALSE	2.100176135911149
Fgfr3	-0.3996727759506159	0.0089973241508049	0.112526043366806	117.7938431663182	TRUE	2.0458866327085476
Fgfrl1	-0.3382731438018336	9.976393634898886e-4	0.02402837080587294	38.74053927606156	FALSE	3.0010264233936073
Fgg	0.25950512187466085	0.2824769928624751	0.6803961821325921	26.249327832121654	FALSE	0.5490169187463784
